date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second
2015-12-27T19:00:51-08:00,0,0,0.000000
2015-12-27T19:00:52-08:00,0,0,0.000000
2015-12-27T19:00:53-08:00,1000,1022787,0.511049
2015-12-27T19:00:54-08:00,1000,1022787,0.340842
2015-12-27T19:00:55-08:00,2000,2041607,0.510088
2015-12-27T19:00:56-08:00,2000,2041607,0.408203
2015-12-27T19:00:57-08:00,3000,3048832,0.508071
2015-12-27T19:00:58-08:00,3000,3048832,0.435498
2015-12-27T19:00:59-08:00,5000,5080124,0.634952
2015-12-27T19:01:00-08:00,6000,6100702,0.677798
2015-12-27T19:01:01-08:00,8000,8131173,0.813056
2015-12-27T19:01:02-08:00,9000,9149804,0.831741
2015-12-27T19:01:03-08:00,10000,10167406,0.847231
2015-12-27T19:01:04-08:00,11000,11182239,0.860121
2015-12-27T19:01:05-08:00,13000,13210416,0.943549
2015-12-27T19:01:06-08:00,14000,14218243,0.947832
2015-12-27T19:01:07-08:00,15000,15232383,0.951977
2015-12-27T19:01:08-08:00,16000,16235170,0.954966
2015-12-27T19:01:09-08:00,17000,17246258,0.958078
2015-12-27T19:01:10-08:00,18000,18250833,0.959720
2015-12-27T19:01:11-08:00,19000,19253675,0.962649
2015-12-27T19:01:12-08:00,20000,20262967,0.964870
2015-12-27T19:01:13-08:00,21000,21274111,0.966969
2015-12-27T19:01:14-08:00,23000,23315047,1.013664
2015-12-27T19:01:15-08:00,24000,24329327,1.013689
2015-12-27T19:01:16-08:00,25000,25346473,1.013828
2015-12-27T19:01:17-08:00,26000,26366625,1.014069
2015-12-27T19:01:18-08:00,27000,27378185,1.013978
2015-12-27T19:01:19-08:00,28000,28392653,1.013996
2015-12-27T19:01:20-08:00,30000,30419006,1.048904
2015-12-27T19:01:21-08:00,31000,31415095,1.047143
2015-12-27T19:01:22-08:00,32000,32420164,1.045784
2015-12-27T19:01:23-08:00,32000,32420164,1.013106
2015-12-27T19:01:24-08:00,34000,34441547,1.043661
2015-12-27T19:01:25-08:00,35000,35456989,1.042828
2015-12-27T19:01:26-08:00,36000,36464235,1.041812
2015-12-27T19:01:27-08:00,37000,37474099,1.040926
2015-12-27T19:01:28-08:00,39000,39498320,1.067501
2015-12-27T19:01:29-08:00,40000,40513989,1.066136
2015-12-27T19:01:30-08:00,42000,42541195,1.090779
2015-12-27T19:01:31-08:00,43000,43551358,1.088762
2015-12-27T19:01:32-08:00,44000,44556048,1.086713
2015-12-27T19:01:33-08:00,46000,46598320,1.109464
2015-12-27T19:01:34-08:00,47000,47614354,1.107291
2015-12-27T19:01:35-08:00,48000,48626994,1.105140
2015-12-27T19:01:36-08:00,50000,50651542,1.125571
2015-12-27T19:01:37-08:00,51000,51669660,1.123234
2015-12-27T19:01:38-08:00,53000,53700273,1.142541
2015-12-27T19:01:39-08:00,55000,55719182,1.160798
2015-12-27T19:01:40-08:00,56000,56731191,1.157762
2015-12-27T19:01:41-08:00,57000,57747920,1.154941
2015-12-27T19:01:42-08:00,58000,58760715,1.152153
2015-12-27T19:01:43-08:00,59000,59777079,1.149543
2015-12-27T19:01:44-08:00,60000,60793761,1.147036
2015-12-27T19:01:45-08:00,62000,62814906,1.163223
2015-12-27T19:01:46-08:00,63000,63829802,1.160526
2015-12-27T19:01:47-08:00,64000,64845859,1.157946
2015-12-27T19:01:48-08:00,65000,65863620,1.155486
2015-12-27T19:01:49-08:00,67000,67895973,1.170605
2015-12-27T19:01:50-08:00,68000,68913829,1.168016
2015-12-27T19:01:51-08:00,69000,69928350,1.165457
2015-12-27T19:01:52-08:00,70000,70938362,1.162910
2015-12-27T19:01:53-08:00,71000,71957053,1.160584
2015-12-27T19:01:54-08:00,72000,72978282,1.158372
2015-12-27T19:01:55-08:00,74000,75005393,1.171946
2015-12-27T19:01:56-08:00,75000,76027125,1.169635
2015-12-27T19:01:57-08:00,77000,78058943,1.182698
2015-12-27T19:01:58-08:00,78000,79086658,1.180384
2015-12-27T19:01:59-08:00,79000,80101904,1.177956
2015-12-27T19:02:00-08:00,80000,81113427,1.175544
2015-12-27T19:02:01-08:00,82000,83137034,1.187650
2015-12-27T19:02:02-08:00,82000,83137034,1.170932
2015-12-27T19:02:03-08:00,84000,85133367,1.182397
2015-12-27T19:02:04-08:00,85000,86142022,1.180015
2015-12-27T19:02:05-08:00,86000,87154347,1.177749
2015-12-27T19:02:06-08:00,87000,88167283,1.175552
2015-12-27T19:02:07-08:00,89000,90201545,1.186850
2015-12-27T19:02:08-08:00,90000,91222379,1.184695
2015-12-27T19:02:09-08:00,91000,92232589,1.182457
2015-12-27T19:02:10-08:00,92000,93245265,1.180309
2015-12-27T19:02:11-08:00,94000,95274291,1.190917
2015-12-27T19:02:12-08:00,95000,96285688,1.188701
2015-12-27T19:02:13-08:00,96000,97296504,1.186532
2015-12-27T19:02:14-08:00,97000,98316284,1.184522
2015-12-27T19:02:15-08:00,98000,99323751,1.182416
2015-12-27T19:02:16-08:00,100000,101347173,1.197084
