date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second
2015-12-27T21:29:44-08:00,0,0,0.000000
2015-12-27T21:29:45-08:00,0,0,0.000000
2015-12-27T21:29:46-08:00,3000,3048832,1.523979
2015-12-27T21:29:47-08:00,7000,7120523,2.373066
2015-12-27T21:29:48-08:00,11000,11182239,2.793016
2015-12-27T21:29:49-08:00,14000,14224556,2.844581
2015-12-27T21:29:50-08:00,16000,16243471,2.706995
2015-12-27T21:29:51-08:00,24000,24329327,3.475333
2015-12-27T21:29:52-08:00,26000,26366625,3.295209
2015-12-27T21:29:53-08:00,31000,31415095,3.490322
2015-12-27T21:29:54-08:00,35000,35448793,3.544660
2015-12-27T21:29:55-08:00,38000,38484053,3.498358
2015-12-27T21:29:56-08:00,43000,43545885,3.628639
2015-12-27T21:29:57-08:00,47000,47614354,3.662467
2015-12-27T21:29:58-08:00,50000,50651542,3.617800
2015-12-27T21:29:59-08:00,54000,54709392,3.647139
2015-12-27T21:30:00-08:00,58000,58760715,3.672399
2015-12-27T21:30:01-08:00,61000,61803710,3.635372
2015-12-27T21:30:02-08:00,61000,61803710,3.433417
2015-12-27T21:30:03-08:00,61000,61803710,3.252708
2015-12-27T21:30:04-08:00,61000,61803710,3.090080
2015-12-27T21:30:05-08:00,61000,61803710,2.942942
2015-12-27T21:30:06-08:00,64000,64845859,2.947452
2015-12-27T21:30:07-08:00,66000,66879052,2.907705
2015-12-27T21:30:08-08:00,70000,70938362,2.955686
2015-12-27T21:30:09-08:00,74000,75011935,3.000403
2015-12-27T21:30:10-08:00,77000,78058943,3.002195
2015-12-27T21:30:11-08:00,82000,83137034,3.079075
2015-12-27T21:30:12-08:00,86000,87154347,3.112585
2015-12-27T21:30:13-08:00,87000,88167283,3.040182
2015-12-27T21:30:14-08:00,87000,88167283,2.938847
2015-12-27T21:30:15-08:00,87000,88167283,2.844047
2015-12-27T21:30:16-08:00,87000,88167283,2.755170
2015-12-27T21:30:17-08:00,88000,89187464,2.702600
2015-12-27T21:30:18-08:00,92000,93245265,2.742458
2015-12-27T21:30:19-08:00,95000,96285688,2.750968
2015-12-27T21:30:20-08:00,99000,100337640,2.787108
2015-12-27T21:30:20-08:00,100000,101347173,2.813004
