date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second
2015-12-28T11:07:57-08:00,0,0,0.000000
2015-12-28T11:07:58-08:00,0,0,0.000000
2015-12-28T11:07:59-08:00,0,0,0.000000
2015-12-28T11:08:00-08:00,1000,1022787,0.340869
2015-12-28T11:08:01-08:00,1000,1022787,0.255343
2015-12-28T11:08:02-08:00,1000,1022787,0.204463
2015-12-28T11:08:03-08:00,1000,1022787,0.170454
2015-12-28T11:08:04-08:00,3000,3048832,0.435340
2015-12-28T11:08:05-08:00,3000,3048832,0.380980
2015-12-28T11:08:06-08:00,4000,4065978,0.451756
2015-12-28T11:08:07-08:00,5000,5080124,0.507992
2015-12-28T11:08:08-08:00,6000,6100702,0.554590
2015-12-28T11:08:09-08:00,7000,7120523,0.593355
2015-12-28T11:08:10-08:00,7000,7120523,0.547716
2015-12-28T11:08:11-08:00,8000,8131173,0.580781
2015-12-28T11:08:12-08:00,9000,9149804,0.609972
2015-12-28T11:08:13-08:00,10000,10167406,0.635448
2015-12-28T11:08:14-08:00,10000,10167406,0.598068
2015-12-28T11:08:15-08:00,10000,10167406,0.564846
2015-12-28T11:08:16-08:00,12000,12199594,0.642071
2015-12-28T11:08:17-08:00,12000,12199594,0.609968
2015-12-28T11:08:18-08:00,13000,13210416,0.629056
2015-12-28T11:08:19-08:00,14000,14218243,0.646272
2015-12-28T11:08:20-08:00,15000,15232383,0.662266
2015-12-28T11:08:21-08:00,16000,16235170,0.676454
2015-12-28T11:08:22-08:00,17000,17246258,0.689840
2015-12-28T11:08:23-08:00,17000,17246258,0.663307
2015-12-28T11:08:24-08:00,18000,18250833,0.675926
2015-12-28T11:08:25-08:00,18000,18250833,0.651807
2015-12-28T11:08:26-08:00,19000,19253675,0.663911
2015-12-28T11:08:27-08:00,20000,20262967,0.675424
2015-12-28T11:08:28-08:00,21000,21274111,0.686253
2015-12-28T11:08:29-08:00,21000,21274111,0.664808
2015-12-28T11:08:30-08:00,22000,22292285,0.675516
2015-12-28T11:08:31-08:00,23000,23315047,0.685729
2015-12-28T11:08:32-08:00,24000,24329327,0.695116
2015-12-28T11:08:33-08:00,24000,24329327,0.675807
2015-12-28T11:08:34-08:00,25000,25346473,0.684979
2015-12-28T11:08:35-08:00,25000,25346473,0.667006
2015-12-28T11:08:36-08:00,26000,26366625,0.676061
2015-12-28T11:08:37-08:00,27000,27378185,0.684448
2015-12-28T11:08:38-08:00,28000,28392653,0.692496
2015-12-28T11:08:39-08:00,28000,28392653,0.676009
2015-12-28T11:08:40-08:00,29000,29408390,0.683910
2015-12-28T11:08:41-08:00,30000,30419006,0.691335
2015-12-28T11:08:42-08:00,31000,31415095,0.698107
2015-12-28T11:08:43-08:00,31000,31415095,0.682584
2015-12-28T11:08:44-08:00,31000,31415095,0.668401
2015-12-28T11:08:45-08:00,32000,32420164,0.675415
2015-12-28T11:08:46-08:00,33000,33430060,0.682241
2015-12-28T11:08:47-08:00,34000,34441547,0.688825
2015-12-28T11:08:48-08:00,35000,35456989,0.695230
2015-12-28T11:08:49-08:00,35000,35456989,0.681860
2015-12-28T11:08:50-08:00,36000,36464235,0.688000
2015-12-28T11:08:51-08:00,36000,36464235,0.675259
2015-12-28T11:08:52-08:00,37000,37474099,0.681343
2015-12-28T11:08:53-08:00,38000,38484053,0.687166
2015-12-28T11:08:54-08:00,38000,38484053,0.675155
2015-12-28T11:08:55-08:00,39000,39498320,0.681002
2015-12-28T11:08:56-08:00,40000,40513989,0.686673
2015-12-28T11:08:57-08:00,41000,41528758,0.692142
2015-12-28T11:08:58-08:00,41000,41528758,0.680795
2015-12-28T11:08:59-08:00,42000,42541195,0.686144
2015-12-28T11:09:00-08:00,43000,43551358,0.691288
2015-12-28T11:09:01-08:00,43000,43551358,0.680486
2015-12-28T11:09:02-08:00,44000,44556048,0.685474
2015-12-28T11:09:03-08:00,45000,45580518,0.690610
2015-12-28T11:09:04-08:00,45000,45580518,0.680302
2015-12-28T11:09:05-08:00,46000,46598320,0.685232
2015-12-28T11:09:06-08:00,46000,46598320,0.675335
2015-12-28T11:09:07-08:00,47000,47614354,0.680202
2015-12-28T11:09:08-08:00,48000,48626994,0.684884
2015-12-28T11:09:09-08:00,49000,49638872,0.689425
2015-12-28T11:09:10-08:00,50000,50651542,0.693853
2015-12-28T11:09:11-08:00,50000,50651542,0.684477
2015-12-28T11:09:12-08:00,51000,51669660,0.688926
2015-12-28T11:09:13-08:00,52000,52685121,0.693222
2015-12-28T11:09:14-08:00,52000,52685121,0.684219
2015-12-28T11:09:15-08:00,53000,53700273,0.688362
2015-12-28T11:09:16-08:00,53000,53700273,0.679747
2015-12-28T11:09:17-08:00,53000,53700273,0.671250
2015-12-28T11:09:18-08:00,54000,54709392,0.675422
2015-12-28T11:09:19-08:00,55000,55719182,0.679499
2015-12-28T11:09:20-08:00,56000,56731191,0.683506
2015-12-28T11:09:21-08:00,57000,57747920,0.687472
2015-12-28T11:09:22-08:00,58000,58760715,0.691299
2015-12-28T11:09:23-08:00,58000,58760715,0.683249
2015-12-28T11:09:24-08:00,59000,59777079,0.687090
2015-12-28T11:09:25-08:00,59000,59777079,0.679282
2015-12-28T11:09:26-08:00,60000,60793761,0.683073
2015-12-28T11:09:27-08:00,61000,61805178,0.686721
2015-12-28T11:09:28-08:00,61000,61805178,0.679175
2015-12-28T11:09:29-08:00,62000,62814906,0.682768
2015-12-28T11:09:30-08:00,63000,63829802,0.686340
2015-12-28T11:09:31-08:00,63000,63829802,0.679038
2015-12-28T11:09:32-08:00,64000,64845859,0.682586
2015-12-28T11:09:33-08:00,64000,64845859,0.675475
2015-12-28T11:09:34-08:00,65000,65863620,0.679004
2015-12-28T11:09:35-08:00,66000,66879052,0.682437
2015-12-28T11:09:36-08:00,66000,66879052,0.675543
2015-12-28T11:09:37-08:00,67000,67895973,0.678957
2015-12-28T11:09:38-08:00,67000,67895973,0.672217
2015-12-28T11:09:39-08:00,67000,67895973,0.665645
2015-12-28T11:09:40-08:00,68000,68913829,0.669064
2015-12-28T11:09:41-08:00,68000,68913829,0.662631
2015-12-28T11:09:42-08:00,69000,69928350,0.665982
2015-12-28T11:09:43-08:00,70000,70938362,0.669227
2015-12-28T11:09:44-08:00,70000,70938362,0.662973
2015-12-28T11:09:45-08:00,71000,71957053,0.666244
2015-12-28T11:09:46-08:00,71000,71957053,0.660154
2015-12-28T11:09:47-08:00,72000,72978282,0.663437
2015-12-28T11:09:48-08:00,72000,72978282,0.657460
2015-12-28T11:09:49-08:00,73000,73993472,0.660654
2015-12-28T11:09:50-08:00,74000,75005393,0.663762
2015-12-28T11:09:51-08:00,74000,75005393,0.657940
2015-12-28T11:09:52-08:00,74000,75005393,0.652198
2015-12-28T11:09:53-08:00,75000,76027125,0.655404
2015-12-28T11:09:54-08:00,76000,77043768,0.658492
2015-12-28T11:09:55-08:00,76000,77043768,0.652911
2015-12-28T11:09:56-08:00,77000,78058943,0.655956
2015-12-28T11:09:57-08:00,77000,78058943,0.650405
2015-12-28T11:09:58-08:00,78000,79086658,0.653607
2015-12-28T11:09:59-08:00,78000,79086658,0.648249
2015-12-28T11:10:00-08:00,79000,80101904,0.651233
2015-12-28T11:10:01-08:00,80000,81113427,0.654139
2015-12-28T11:10:02-08:00,80000,81113427,0.648906
2015-12-28T11:10:03-08:00,81000,82125309,0.651786
2015-12-28T11:10:04-08:00,81000,82125309,0.646654
2015-12-28T11:10:05-08:00,82000,83137034,0.649506
2015-12-28T11:10:06-08:00,82000,83137034,0.644472
2015-12-28T11:10:07-08:00,82000,83137034,0.639514
2015-12-28T11:10:08-08:00,83000,84142708,0.642309
2015-12-28T11:10:09-08:00,83000,84142708,0.637443
2015-12-28T11:10:10-08:00,84000,85133367,0.640086
2015-12-28T11:10:11-08:00,84000,85133367,0.635322
2015-12-28T11:10:12-08:00,85000,86142022,0.638087
2015-12-28T11:10:13-08:00,86000,87154347,0.640839
2015-12-28T11:10:14-08:00,86000,87154347,0.636162
2015-12-28T11:10:15-08:00,86000,87154347,0.631552
2015-12-28T11:10:16-08:00,87000,88167283,0.634295
2015-12-28T11:10:17-08:00,87000,88167283,0.629765
2015-12-28T11:10:18-08:00,88000,89187464,0.632534
2015-12-28T11:10:19-08:00,88000,89187464,0.628079
2015-12-28T11:10:20-08:00,88000,89187464,0.623687
2015-12-28T11:10:21-08:00,89000,90201545,0.626316
2015-12-28T11:10:22-08:00,89000,90201545,0.622078
2015-12-28T11:10:23-08:00,89000,90201545,0.617817
2015-12-28T11:10:24-08:00,90000,91222379,0.620559
2015-12-28T11:10:25-08:00,90000,91222379,0.616366
2015-12-28T11:10:26-08:00,91000,92232589,0.619009
2015-12-28T11:10:27-08:00,91000,92232589,0.614882
2015-12-28T11:10:28-08:00,92000,93245265,0.617517
2015-12-28T11:10:29-08:00,92000,93245265,0.613454
2015-12-28T11:10:30-08:00,93000,94265024,0.616110
2015-12-28T11:10:31-08:00,93000,94265024,0.612109
2015-12-28T11:10:32-08:00,93000,94265024,0.608160
2015-12-28T11:10:33-08:00,94000,95274291,0.610731
2015-12-28T11:10:34-08:00,94000,95274291,0.606841
2015-12-28T11:10:35-08:00,94000,95274291,0.603001
2015-12-28T11:10:36-08:00,95000,96285688,0.605569
2015-12-28T11:10:37-08:00,95000,96285688,0.601784
2015-12-28T11:10:38-08:00,95000,96285688,0.598046
2015-12-28T11:10:39-08:00,96000,97296504,0.600594
2015-12-28T11:10:40-08:00,96000,97296504,0.596910
2015-12-28T11:10:41-08:00,97000,98316284,0.599488
2015-12-28T11:10:42-08:00,97000,98316284,0.595855
2015-12-28T11:10:43-08:00,98000,99323751,0.598335
2015-12-28T11:10:44-08:00,98000,99323751,0.594752
2015-12-28T11:10:45-08:00,98000,99323751,0.591212
2015-12-28T11:10:46-08:00,99000,100337640,0.593713
2015-12-28T11:10:47-08:00,99000,100337640,0.590220
2015-12-28T11:10:48-08:00,99000,100337640,0.586769
2015-12-28T11:10:49-08:00,100000,101347173,0.591327
