date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second
2015-12-28T16:12:38-08:00,0,0,0.000000
2015-12-28T16:12:39-08:00,0,0,0.000000
2015-12-28T16:12:40-08:00,0,0,0.000000
2015-12-28T16:12:41-08:00,0,0,0.000000
2015-12-28T16:12:42-08:00,0,0,0.000000
2015-12-28T16:12:43-08:00,0,0,0.000000
2015-12-28T16:12:44-08:00,0,0,0.000000
2015-12-28T16:12:45-08:00,0,0,0.000000
2015-12-28T16:12:46-08:00,0,0,0.000000
2015-12-28T16:12:47-08:00,0,0,0.000000
2015-12-28T16:12:48-08:00,0,0,0.000000
2015-12-28T16:12:49-08:00,0,0,0.000000
2015-12-28T16:12:50-08:00,0,0,0.000000
2015-12-28T16:12:51-08:00,0,0,0.000000
2015-12-28T16:12:52-08:00,1000,1022787,0.073046
2015-12-28T16:12:53-08:00,1000,1022787,0.068184
2015-12-28T16:12:54-08:00,3000,3048832,0.190547
2015-12-28T16:12:55-08:00,4000,4065978,0.239169
2015-12-28T16:12:56-08:00,5000,5080124,0.282222
2015-12-28T16:12:57-08:00,6000,6100702,0.321081
2015-12-28T16:12:58-08:00,7000,7120523,0.356017
2015-12-28T16:12:59-08:00,7000,7120523,0.339056
2015-12-28T16:13:00-08:00,7000,7120523,0.323655
2015-12-28T16:13:01-08:00,8000,8131173,0.353523
2015-12-28T16:13:02-08:00,9000,9149804,0.381234
2015-12-28T16:13:03-08:00,10000,10167406,0.406689
2015-12-28T16:13:04-08:00,11000,11182239,0.430079
2015-12-28T16:13:05-08:00,11000,11182239,0.414139
2015-12-28T16:13:06-08:00,12000,12199594,0.435694
2015-12-28T16:13:07-08:00,12000,12199594,0.420671
2015-12-28T16:13:08-08:00,13000,13210416,0.440341
2015-12-28T16:13:09-08:00,14000,14218243,0.458646
2015-12-28T16:13:10-08:00,15000,15232383,0.476005
2015-12-28T16:13:11-08:00,15000,15232383,0.461581
2015-12-28T16:13:12-08:00,15000,15232383,0.448006
2015-12-28T16:13:13-08:00,16000,16235170,0.463856
2015-12-28T16:13:14-08:00,17000,17246258,0.479057
2015-12-28T16:13:15-08:00,18000,18250833,0.493260
2015-12-28T16:13:16-08:00,19000,19253675,0.506649
2015-12-28T16:13:17-08:00,19000,19253675,0.493347
2015-12-28T16:13:18-08:00,19000,19253675,0.481337
2015-12-28T16:13:19-08:00,20000,20262967,0.494214
2015-12-28T16:13:20-08:00,21000,21274111,0.506521
2015-12-28T16:13:21-08:00,22000,22292285,0.518407
2015-12-28T16:13:22-08:00,22000,22292285,0.506639
2015-12-28T16:13:23-08:00,22000,22292285,0.495380
2015-12-28T16:13:24-08:00,23000,23315047,0.506844
2015-12-28T16:13:25-08:00,24000,24329327,0.517640
2015-12-28T16:13:26-08:00,25000,25346473,0.528032
2015-12-28T16:13:27-08:00,25000,25346473,0.517271
2015-12-28T16:13:28-08:00,25000,25346473,0.506926
2015-12-28T16:13:29-08:00,26000,26366625,0.516988
2015-12-28T16:13:30-08:00,27000,27378185,0.526499
2015-12-28T16:13:31-08:00,27000,27378185,0.516566
2015-12-28T16:13:32-08:00,27000,27378185,0.506844
2015-12-28T16:13:33-08:00,28000,28392653,0.516226
2015-12-28T16:13:34-08:00,29000,29408390,0.525146
2015-12-28T16:13:35-08:00,30000,30419006,0.533663
2015-12-28T16:13:36-08:00,30000,30419006,0.524461
2015-12-28T16:13:37-08:00,31000,31415095,0.532454
2015-12-28T16:13:38-08:00,31000,31415095,0.523581
2015-12-28T16:13:39-08:00,32000,32420164,0.531474
2015-12-28T16:13:40-08:00,32000,32420164,0.522902
2015-12-28T16:13:41-08:00,33000,33430060,0.530620
2015-12-28T16:13:42-08:00,33000,33430060,0.522342
2015-12-28T16:13:43-08:00,34000,34441547,0.529866
2015-12-28T16:13:44-08:00,34000,34441547,0.521838
2015-12-28T16:13:45-08:00,35000,35456989,0.529205
2015-12-28T16:13:46-08:00,36000,36464235,0.536235
2015-12-28T16:13:47-08:00,36000,36464235,0.528457
2015-12-28T16:13:48-08:00,36000,36464235,0.520915
2015-12-28T16:13:49-08:00,37000,37474099,0.527801
2015-12-28T16:13:50-08:00,38000,38484053,0.534498
2015-12-28T16:13:51-08:00,38000,38484053,0.527175
2015-12-28T16:13:52-08:00,39000,39498320,0.533758
2015-12-28T16:13:53-08:00,39000,39498320,0.526641
2015-12-28T16:13:54-08:00,39000,39498320,0.519712
2015-12-28T16:13:55-08:00,40000,40513989,0.526153
2015-12-28T16:13:56-08:00,41000,41528758,0.532417
2015-12-28T16:13:57-08:00,42000,42541195,0.538493
2015-12-28T16:13:58-08:00,42000,42541195,0.531762
2015-12-28T16:13:59-08:00,43000,43551358,0.537666
2015-12-28T16:14:00-08:00,43000,43551358,0.531112
2015-12-28T16:14:01-08:00,43000,43551358,0.524713
2015-12-28T16:14:02-08:00,44000,44556048,0.530427
2015-12-28T16:14:03-08:00,45000,45580518,0.536239
2015-12-28T16:14:04-08:00,45000,45580518,0.529995
2015-12-28T16:14:05-08:00,45000,45580518,0.523912
2015-12-28T16:14:06-08:00,46000,46598320,0.529524
2015-12-28T16:14:07-08:00,47000,47614354,0.534990
2015-12-28T16:14:08-08:00,48000,48626994,0.540297
2015-12-28T16:14:09-08:00,48000,48626994,0.534359
2015-12-28T16:14:10-08:00,48000,48626994,0.528544
2015-12-28T16:14:11-08:00,49000,49638872,0.533749
2015-12-28T16:14:12-08:00,49000,49638872,0.528071
2015-12-28T16:14:13-08:00,50000,50651542,0.533172
2015-12-28T16:14:14-08:00,51000,51669660,0.538224
2015-12-28T16:14:15-08:00,51000,51669660,0.532667
2015-12-28T16:14:16-08:00,51000,51669660,0.527239
2015-12-28T16:14:17-08:00,52000,52685121,0.532166
2015-12-28T16:14:18-08:00,53000,53700273,0.537001
2015-12-28T16:14:19-08:00,53000,53700273,0.531676
2015-12-28T16:14:20-08:00,53000,53700273,0.526471
2015-12-28T16:14:21-08:00,54000,54709392,0.531157
2015-12-28T16:14:22-08:00,55000,55719182,0.535759
2015-12-28T16:14:23-08:00,56000,56731191,0.540295
