date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second
2015-12-28T16:37:50-08:00,0,0,0.000000
2015-12-28T16:37:51-08:00,0,0,0.000000
2015-12-28T16:37:52-08:00,0,0,0.000000
2015-12-28T16:37:53-08:00,0,0,0.000000
2015-12-28T16:37:54-08:00,0,0,0.000000
2015-12-28T16:37:55-08:00,0,0,0.000000
2015-12-28T16:37:56-08:00,1000,1022787,0.170382
2015-12-28T16:37:57-08:00,1000,1022787,0.146105
2015-12-28T16:37:58-08:00,2000,2041607,0.255188
2015-12-28T16:37:59-08:00,2000,2041607,0.226835
2015-12-28T16:38:00-08:00,3000,3048832,0.304866
2015-12-28T16:38:01-08:00,3000,3048832,0.277155
2015-12-28T16:38:02-08:00,4000,4065978,0.338710
2015-12-28T16:38:03-08:00,4000,4065978,0.312708
2015-12-28T16:38:04-08:00,4000,4065978,0.290419
2015-12-28T16:38:05-08:00,5000,5080124,0.338632
2015-12-28T16:38:06-08:00,5000,5080124,0.317499
2015-12-28T16:38:07-08:00,5000,5080124,0.298824
2015-12-28T16:38:08-08:00,6000,6100702,0.338919
2015-12-28T16:38:09-08:00,6000,6100702,0.321082
2015-12-28T16:38:10-08:00,7000,7120523,0.356019
2015-12-28T16:38:11-08:00,7000,7120523,0.339065
2015-12-28T16:38:12-08:00,8000,8131173,0.369592
2015-12-28T16:38:13-08:00,8000,8131173,0.353522
2015-12-28T16:38:14-08:00,9000,9149804,0.381234
2015-12-28T16:38:15-08:00,9000,9149804,0.365986
2015-12-28T16:38:16-08:00,9000,9149804,0.351910
2015-12-28T16:38:17-08:00,10000,10167406,0.376563
2015-12-28T16:38:18-08:00,10000,10167406,0.363116
2015-12-28T16:38:19-08:00,11000,11182239,0.385588
2015-12-28T16:38:20-08:00,11000,11182239,0.372735
2015-12-28T16:38:21-08:00,12000,12199594,0.393529
2015-12-28T16:38:22-08:00,12000,12199594,0.381233
2015-12-28T16:38:23-08:00,12000,12199594,0.369680
2015-12-28T16:38:24-08:00,13000,13210416,0.388537
2015-12-28T16:38:25-08:00,13000,13210416,0.377435
2015-12-28T16:38:26-08:00,14000,14218243,0.394946
2015-12-28T16:38:27-08:00,14000,14218243,0.384272
2015-12-28T16:38:28-08:00,15000,15232383,0.400848
2015-12-28T16:38:29-08:00,15000,15232383,0.390569
2015-12-28T16:38:30-08:00,15000,15232383,0.380805
2015-12-28T16:38:31-08:00,16000,16235170,0.395975
2015-12-28T16:38:32-08:00,16000,16235170,0.386548
2015-12-28T16:38:33-08:00,16000,16235170,0.377558
2015-12-28T16:38:34-08:00,16000,16235170,0.368978
2015-12-28T16:38:35-08:00,16000,16235170,0.360778
2015-12-28T16:38:36-08:00,17000,17246258,0.374914
2015-12-28T16:38:37-08:00,17000,17246258,0.366938
2015-12-28T16:38:38-08:00,17000,17246258,0.359294
2015-12-28T16:38:39-08:00,17000,17246258,0.351962
2015-12-28T16:38:40-08:00,17000,17246258,0.344922
2015-12-28T16:38:41-08:00,17000,17246258,0.338159
2015-12-28T16:38:42-08:00,17000,17246258,0.331656
2015-12-28T16:38:43-08:00,17000,17246258,0.325398
