date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second
2015-12-28T17:28:17-08:00,0,0,0.000000
2015-12-28T17:28:18-08:00,0,0,0.000000
2015-12-28T17:28:19-08:00,1000,1022787,0.511301
2015-12-28T17:28:20-08:00,2000,2041607,0.680311
2015-12-28T17:28:21-08:00,3000,3048832,0.762116
2015-12-28T17:28:22-08:00,4000,4065978,0.813069
2015-12-28T17:28:23-08:00,5000,5080124,0.846525
2015-12-28T17:28:24-08:00,6000,6100702,0.871483
2015-12-28T17:28:25-08:00,8000,8131173,1.016346
2015-12-28T17:28:26-08:00,9000,9149804,1.016594
2015-12-28T17:28:27-08:00,11000,11182239,1.118176
2015-12-28T17:28:28-08:00,12000,12199594,1.109013
2015-12-28T17:28:29-08:00,13000,13210416,1.100828
2015-12-28T17:28:30-08:00,15000,15232383,1.171687
2015-12-28T17:28:31-08:00,15000,15232383,1.087996
2015-12-28T17:28:32-08:00,16000,16235170,1.081017
2015-12-28T17:28:33-08:00,17000,17246258,1.077863
2015-12-28T17:28:34-08:00,19000,19253675,1.132542
2015-12-28T17:28:35-08:00,20000,20262967,1.125694
2015-12-28T17:28:36-08:00,22000,22292285,1.173252
2015-12-28T17:28:37-08:00,23000,23315047,1.165727
2015-12-28T17:28:38-08:00,24000,24329327,1.158515
2015-12-28T17:28:39-08:00,26000,26366625,1.198458
2015-12-28T17:28:40-08:00,27000,27378185,1.190336
2015-12-28T17:28:41-08:00,28000,28392653,1.183002
2015-12-28T17:28:42-08:00,30000,30419006,1.216741
2015-12-28T17:28:43-08:00,31000,31415095,1.208255
2015-12-28T17:28:44-08:00,32000,32420164,1.200654
2015-12-28T17:28:45-08:00,33000,33430060,1.193914
2015-12-28T17:28:46-08:00,34000,34441547,1.187624
2015-12-28T17:28:47-08:00,36000,36464235,1.215460
2015-12-28T17:28:48-08:00,37000,37474099,1.208826
2015-12-28T17:28:49-08:00,39000,39498320,1.234306
2015-12-28T17:28:50-08:00,41000,41528758,1.258431
2015-12-28T17:28:51-08:00,42000,42541195,1.251196
2015-12-28T17:28:52-08:00,44000,44556048,1.273014
2015-12-28T17:28:53-08:00,45000,45580518,1.266110
2015-12-28T17:28:54-08:00,47000,47614354,1.286860
2015-12-28T17:28:55-08:00,49000,49638872,1.306271
2015-12-28T17:28:56-08:00,50000,50651542,1.298743
2015-12-28T17:28:57-08:00,52000,52685121,1.317115
2015-12-28T17:28:58-08:00,53000,53700273,1.309748
2015-12-28T17:28:59-08:00,55000,55719182,1.326634
2015-12-28T17:29:00-08:00,57000,57747920,1.342961
2015-12-28T17:29:01-08:00,59000,59777079,1.358556
2015-12-28T17:29:02-08:00,60000,60793761,1.350958
2015-12-28T17:29:03-08:00,62000,62814906,1.365528
2015-12-28T17:29:04-08:00,64000,64845859,1.379686
2015-12-28T17:29:05-08:00,65000,65863620,1.372146
2015-12-28T17:29:06-08:00,67000,67895973,1.385619
2015-12-28T17:29:07-08:00,68000,68913829,1.378264
2015-12-28T17:29:08-08:00,70000,70938362,1.390935
2015-12-28T17:29:09-08:00,72000,72978282,1.403417
2015-12-28T17:29:10-08:00,75000,76027125,1.434462
2015-12-28T17:29:11-08:00,77000,78058943,1.445525
2015-12-28T17:29:12-08:00,78000,79086658,1.437927
2015-12-28T17:29:13-08:00,80000,81113427,1.448443
2015-12-28T17:29:14-08:00,82000,83137034,1.458534
2015-12-28T17:29:15-08:00,84000,85133367,1.467806
2015-12-28T17:29:16-08:00,86000,87154347,1.477182
2015-12-28T17:29:17-08:00,88000,89187464,1.486448
2015-12-28T17:29:18-08:00,91000,92232589,1.511999
2015-12-28T17:29:19-08:00,92000,93245265,1.503945
2015-12-28T17:29:20-08:00,93000,94265024,1.496260
2015-12-28T17:29:21-08:00,95000,96285688,1.504453
2015-12-28T17:29:22-08:00,96000,97296504,1.496859
2015-12-28T17:29:23-08:00,97000,98316284,1.489631
2015-12-28T17:29:24-08:00,99000,100337640,1.497567
2015-12-28T17:29:24-08:00,100000,101347173,1.511956
