date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-01-04T18:12:06-08:00,0,0,0.000000,0.000000
2016-01-04T18:12:07-08:00,0,0,0.000000,0.000000
2016-01-04T18:12:08-08:00,1000,1022787,0.511141,1.022280
2016-01-04T18:12:09-08:00,2000,2041607,0.680368,1.019073
2016-01-04T18:12:10-08:00,3000,3048832,0.762119,1.007496
2016-01-04T18:12:11-08:00,4000,4065978,0.813118,1.017136
2016-01-04T18:12:12-08:00,5000,5080124,0.846287,1.011759
2016-01-04T18:12:13-08:00,6000,6100702,0.871465,1.022954
2016-01-04T18:12:14-08:00,8000,8131173,1.016339,2.030588
2016-01-04T18:12:15-08:00,9000,9149804,1.016586,1.018566
2016-01-04T18:12:16-08:00,11000,11182239,1.118172,2.032542
2016-01-04T18:12:17-08:00,12000,12199594,1.109003,1.017313
2016-01-04T18:12:18-08:00,13000,13210416,1.100826,1.010878
2016-01-04T18:12:19-08:00,14000,14218243,1.093501,1.005777
2016-01-04T18:12:20-08:00,15000,15232383,1.087956,1.015743
2016-01-04T18:12:21-08:00,17000,17246258,1.149712,2.014716
2016-01-04T18:12:22-08:00,18000,18250833,1.140639,1.004540
2016-01-04T18:12:23-08:00,19000,19253675,1.132534,1.002838
2016-01-04T18:12:24-08:00,21000,21274111,1.181857,2.020351
2016-01-04T18:12:25-08:00,23000,23315047,1.227072,2.040977
2016-01-04T18:12:26-08:00,24000,24329327,1.216428,1.014200
2016-01-04T18:12:27-08:00,25000,25346473,1.206939,1.017156
2016-01-04T18:12:28-08:00,27000,27378185,1.244434,2.031949
2016-01-04T18:12:29-08:00,28000,28392653,1.234433,1.014410
2016-01-04T18:12:30-08:00,30000,30419006,1.267430,2.026395
2016-01-04T18:12:31-08:00,31000,31415095,1.256526,0.995094
2016-01-04T18:12:32-08:00,31000,31415095,1.208147,0.000000
2016-01-04T18:12:33-08:00,33000,33430060,1.237397,1.987675
2016-01-04T18:12:34-08:00,34000,34441547,1.230034,1.027876
2016-01-04T18:12:35-08:00,35000,35456989,1.222632,1.015392
2016-01-04T18:12:36-08:00,37000,37474099,1.249114,2.017099
2016-01-04T18:12:37-08:00,38000,38484053,1.241400,1.009977
2016-01-04T18:12:38-08:00,39000,39498320,1.234299,1.014194
2016-01-04T18:12:39-08:00,41000,41528758,1.258427,2.030594
2016-01-04T18:12:40-08:00,42000,42541195,1.251193,1.012452
2016-01-04T18:12:41-08:00,45000,45580518,1.302281,3.039281
2016-01-04T18:12:42-08:00,47000,47614354,1.322602,2.033836
2016-01-04T18:12:43-08:00,48000,48626994,1.314225,1.012661
2016-01-04T18:12:44-08:00,50000,50651542,1.332919,2.024617
2016-01-04T18:12:45-08:00,51000,51669660,1.324845,1.018052
2016-01-04T18:12:46-08:00,52000,52685121,1.317110,1.015456
2016-01-04T18:12:47-08:00,54000,54709392,1.334358,2.024247
2016-01-04T18:12:48-08:00,55000,55719182,1.326631,1.009811
2016-01-04T18:12:49-08:00,57000,57747920,1.342959,2.028774
2016-01-04T18:12:50-08:00,59000,59777079,1.358554,2.029149
2016-01-04T18:12:51-08:00,61000,61805178,1.373433,2.028122
2016-01-04T18:12:52-08:00,64000,64845859,1.409676,3.040587
2016-01-04T18:12:53-08:00,65000,65863620,1.401338,1.017772
2016-01-04T18:12:54-08:00,67000,67895973,1.414485,2.032447
2016-01-04T18:12:55-08:00,69000,69928350,1.427095,2.032347
2016-01-04T18:12:56-08:00,71000,71957053,1.439127,2.028745
2016-01-04T18:12:57-08:00,72000,72978282,1.430932,1.021180
2016-01-04T18:12:58-08:00,75000,76027125,1.462046,3.048874
2016-01-04T18:12:59-08:00,77000,78058943,1.472797,2.031914
2016-01-04T18:13:00-08:00,78000,79086658,1.464554,1.027670
2016-01-04T18:13:01-08:00,79000,80101904,1.456385,1.015239
2016-01-04T18:13:02-08:00,81000,82125309,1.466511,2.023454
2016-01-04T18:13:03-08:00,83000,84142708,1.476176,2.017451
2016-01-04T18:13:04-08:00,85000,86142022,1.485195,1.999313
2016-01-04T18:13:05-08:00,85000,86142022,1.460021,0.000000
2016-01-04T18:13:06-08:00,86000,87154347,1.452561,1.012398
2016-01-04T18:13:07-08:00,87000,88167283,1.445354,1.012911
2016-01-04T18:13:08-08:00,88000,89187464,1.438496,1.020165
2016-01-04T18:13:09-08:00,88000,89187464,1.415663,0.000000
2016-01-04T18:13:10-08:00,90000,91222379,1.425338,2.034848
2016-01-04T18:13:11-08:00,90000,91222379,1.403410,0.000000
2016-01-04T18:13:12-08:00,91000,92232589,1.397452,1.010174
2016-01-04T18:13:13-08:00,92000,93245265,1.391709,1.012685
2016-01-04T18:13:14-08:00,94000,95274291,1.401083,2.029128
2016-01-04T18:13:15-08:00,95000,96285688,1.395435,1.011389
2016-01-04T18:13:16-08:00,96000,97296504,1.389941,1.010830
2016-01-04T18:13:17-08:00,97000,98316284,1.384726,1.019742
2016-01-04T18:13:18-08:00,98000,99323751,1.379487,1.007505
2016-01-04T18:13:19-08:00,100000,101347173,1.395431,3.225234
