date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-02-29T01:58:44-08:00,0,0,0.000000,0.000000
2016-02-29T01:58:45-08:00,0,0,0.000000,0.000000
2016-02-29T01:58:46-08:00,0,0,0.000000,0.000000
2016-02-29T01:58:47-08:00,1000,1022787,0.340877,1.022828
2016-02-29T01:58:48-08:00,1000,1022787,0.255395,0.000000
2016-02-29T01:58:49-08:00,1000,1022787,0.204548,0.000000
2016-02-29T01:58:50-08:00,2000,2041607,0.339111,0.998608
2016-02-29T01:58:51-08:00,3000,3057039,0.436704,1.036381
2016-02-29T01:58:52-08:00,4000,4074185,0.509252,1.017067
2016-02-29T01:58:53-08:00,5000,5088331,0.565351,1.014169
2016-02-29T01:58:54-08:00,5000,5088331,0.508817,0.000000
2016-02-29T01:58:55-08:00,6000,6108909,0.555338,1.020559
2016-02-29T01:58:56-08:00,7000,7128730,0.594044,1.019812
2016-02-29T01:58:57-08:00,8000,8139380,0.626080,1.010448
2016-02-29T01:58:58-08:00,8000,8139380,0.581375,0.000000
2016-02-29T01:58:59-08:00,9000,9158011,0.610524,1.018597
2016-02-29T01:59:00-08:00,10000,10175613,0.635963,1.017527
2016-02-29T01:59:01-08:00,11000,11190446,0.658250,1.014851
2016-02-29T01:59:02-08:00,12000,12207801,0.678201,1.017384
2016-02-29T01:59:03-08:00,13000,13218623,0.695706,1.010791
2016-02-29T01:59:04-08:00,14000,14226450,0.711311,1.007817
2016-02-29T01:59:05-08:00,14000,14226450,0.677440,0.000000
2016-02-29T01:59:06-08:00,15000,15240590,0.692739,1.013956
2016-02-29T01:59:07-08:00,15000,15240590,0.662607,0.000000
2016-02-29T01:59:08-08:00,16000,16243377,0.676798,1.003427
2016-02-29T01:59:09-08:00,17000,17254465,0.690170,1.011113
2016-02-29T01:59:10-08:00,18000,18266347,0.702543,1.011855
2016-02-29T01:59:11-08:00,19000,19269189,0.713667,1.002913
2016-02-29T01:59:12-08:00,19000,19269189,0.688177,0.000000
2016-02-29T01:59:13-08:00,20000,20278481,0.699248,1.009202
2016-02-29T01:59:14-08:00,21000,21289625,0.709645,1.011185
2016-02-29T01:59:15-08:00,22000,22307799,0.719599,1.018221
2016-02-29T01:59:16-08:00,22000,22307799,0.697108,0.000000
2016-02-29T01:59:17-08:00,22000,22307799,0.675988,0.000000
2016-02-29T01:59:18-08:00,23000,23330561,0.686187,1.022708
2016-02-29T01:59:19-08:00,24000,24344841,0.695561,1.014288
2016-02-29T01:59:20-08:00,25000,25361987,0.704492,1.017090
2016-02-29T01:59:21-08:00,25000,25361987,0.685453,0.000000
2016-02-29T01:59:22-08:00,26000,26382139,0.694261,1.020211
2016-02-29T01:59:23-08:00,27000,27393699,0.702396,1.011520
2016-02-29T01:59:24-08:00,27000,27393699,0.684837,0.000000
2016-02-29T01:59:25-08:00,28000,28408167,0.692877,1.014475
2016-02-29T01:59:26-08:00,28000,28408167,0.676377,0.000000
2016-02-29T01:59:27-08:00,29000,29423904,0.684273,1.015992
2016-02-29T01:59:28-08:00,29000,29423904,0.668721,0.000000
2016-02-29T01:59:29-08:00,30000,30443663,0.676522,1.019781
2016-02-29T01:59:30-08:00,31000,31439752,0.683469,0.996110
2016-02-29T01:59:31-08:00,31000,31439752,0.668926,0.000000
2016-02-29T01:59:32-08:00,32000,32444821,0.675929,1.005092
2016-02-29T01:59:33-08:00,33000,33454717,0.682744,1.009866
2016-02-29T01:59:34-08:00,34000,34466204,0.689320,1.011529
2016-02-29T01:59:35-08:00,35000,35481646,0.695715,1.015455
2016-02-29T01:59:36-08:00,35000,35481646,0.682326,0.000000
2016-02-29T01:59:37-08:00,35000,35481646,0.669462,0.000000
2016-02-29T01:59:38-08:00,36000,36488892,0.675716,1.007183
2016-02-29T01:59:39-08:00,37000,37498756,0.681792,1.009872
2016-02-29T01:59:40-08:00,37000,37498756,0.669617,0.000000
2016-02-29T01:59:41-08:00,38000,38508710,0.675588,1.009950
2016-02-29T01:59:42-08:00,39000,39522977,0.681427,1.014257
2016-02-29T01:59:43-08:00,39000,39522977,0.669877,0.000000
2016-02-29T01:59:44-08:00,40000,40538646,0.675640,1.015653
2016-02-29T01:59:45-08:00,40000,40538646,0.664565,0.000000
2016-02-29T01:59:46-08:00,41000,41553415,0.670211,1.014609
2016-02-29T01:59:47-08:00,41000,41553415,0.659576,0.000000
2016-02-29T01:59:48-08:00,42000,42565852,0.665089,1.012392
2016-02-29T01:59:49-08:00,43000,43573405,0.670357,1.007541
2016-02-29T01:59:50-08:00,43000,43573405,0.660200,0.000000
2016-02-29T01:59:51-08:00,44000,44578095,0.665342,1.004685
2016-02-29T01:59:52-08:00,45000,45602565,0.670623,1.024485
2016-02-29T01:59:53-08:00,45000,45602565,0.660904,0.000000
2016-02-29T01:59:54-08:00,46000,46620367,0.666002,1.017784
2016-02-29T01:59:55-08:00,47000,47636401,0.670932,1.016042
2016-02-29T01:59:56-08:00,47000,47636401,0.661614,0.000000
2016-02-29T01:59:57-08:00,47000,47636401,0.652549,0.000000
2016-02-29T01:59:58-08:00,48000,48649041,0.657417,1.012886
2016-02-29T01:59:59-08:00,49000,49668530,0.662244,1.019407
2016-02-29T02:00:00-08:00,50000,50683235,0.666809,1.006363
2016-02-29T02:00:01-08:00,50000,50683235,0.658221,0.000000
2016-02-29T02:00:02-08:00,51000,51701353,0.662835,1.018138
2016-02-29T02:00:03-08:00,51000,51701353,0.654445,0.000000
2016-02-29T02:00:04-08:00,52000,52716814,0.658957,1.015450
2016-02-29T02:00:05-08:00,52000,52716814,0.650823,0.000000
2016-02-29T02:00:06-08:00,53000,53731966,0.655265,1.015117
2016-02-29T02:00:07-08:00,53000,53731966,0.647371,0.000000
2016-02-29T02:00:08-08:00,54000,54741085,0.651594,0.998372
2016-02-29T02:00:09-08:00,54000,54741085,0.644010,0.000000
2016-02-29T02:00:10-08:00,55000,55760260,0.648373,1.019170
2016-02-29T02:00:11-08:00,55000,55760260,0.640920,0.000000
2016-02-29T02:00:12-08:00,56000,56772269,0.645137,1.012001
2016-02-29T02:00:13-08:00,56000,56772269,0.637888,0.000000
2016-02-29T02:00:14-08:00,57000,57788998,0.642098,1.016733
2016-02-29T02:00:15-08:00,58000,58801793,0.646171,1.012798
2016-02-29T02:00:16-08:00,58000,58801793,0.639148,0.000000
2016-02-29T02:00:17-08:00,59000,59818157,0.643203,1.016186
2016-02-29T02:00:18-08:00,59000,59818157,0.636279,0.000000
2016-02-29T02:00:19-08:00,59000,59818157,0.629663,0.000000
2016-02-29T02:00:20-08:00,60000,60834839,0.633694,1.016597
2016-02-29T02:00:21-08:00,60000,60834839,0.627161,0.000000
2016-02-29T02:00:22-08:00,61000,61845361,0.631073,1.010506
2016-02-29T02:00:23-08:00,61000,61845361,0.624699,0.000000
2016-02-29T02:00:24-08:00,62000,62855089,0.628549,1.009728
2016-02-29T02:00:25-08:00,63000,63869985,0.632374,1.014909
2016-02-29T02:00:26-08:00,63000,63869985,0.626174,0.000000
2016-02-29T02:00:27-08:00,64000,64886042,0.629960,1.016047
2016-02-29T02:00:28-08:00,64000,64886042,0.623902,0.000000
2016-02-29T02:00:29-08:00,64000,64886042,0.617822,0.000000
2016-02-29T02:00:30-08:00,65000,65903803,0.621733,1.042346
2016-02-29T02:00:31-08:00,65000,65903803,0.615922,0.000000
2016-02-29T02:00:32-08:00,66000,66911028,0.619545,1.007242
2016-02-29T02:00:33-08:00,66000,66911028,0.613861,0.000000
2016-02-29T02:00:34-08:00,67000,67927949,0.617525,1.016907
2016-02-29T02:00:35-08:00,67000,67927949,0.611961,0.000000
2016-02-29T02:00:36-08:00,68000,68945805,0.615586,1.017900
2016-02-29T02:00:37-08:00,68000,68945805,0.610138,0.000000
2016-02-29T02:00:38-08:00,69000,69960326,0.613685,1.014503
2016-02-29T02:00:39-08:00,70000,70970338,0.617132,1.010103
2016-02-29T02:00:40-08:00,70000,70970338,0.611811,0.000000
2016-02-29T02:00:41-08:00,70000,70970338,0.606472,0.000000
2016-02-29T02:00:42-08:00,71000,71989029,0.610075,1.040956
2016-02-29T02:00:43-08:00,72000,73008171,0.613512,1.019145
2016-02-29T02:00:44-08:00,72000,73008171,0.608400,0.000000
2016-02-29T02:00:45-08:00,73000,74023361,0.611762,1.015188
2016-02-29T02:00:46-08:00,74000,75035282,0.615041,1.011869
2016-02-29T02:00:47-08:00,74000,75035282,0.610041,0.000000
2016-02-29T02:00:48-08:00,75000,76047756,0.613287,1.012473
2016-02-29T02:00:49-08:00,75000,76047756,0.608381,0.000000
2016-02-29T02:00:50-08:00,76000,77065710,0.611571,1.005407
2016-02-29T02:00:51-08:00,76000,77065710,0.606816,0.000000
2016-02-29T02:00:52-08:00,77000,78084148,0.610031,1.018406
2016-02-29T02:00:53-08:00,77000,78084148,0.605302,0.000000
2016-02-29T02:00:54-08:00,78000,79070792,0.608236,0.986659
2016-02-29T02:00:55-08:00,78000,79070792,0.603593,0.000000
2016-02-29T02:00:56-08:00,79000,80081982,0.606680,1.011182
2016-02-29T02:00:57-08:00,79000,80081982,0.602119,0.000000
2016-02-29T02:00:58-08:00,80000,81102568,0.605242,1.020543
2016-02-29T02:00:59-08:00,80000,81102568,0.600758,0.000000
2016-02-29T02:01:00-08:00,81000,82121810,0.603835,1.019233
2016-02-29T02:01:01-08:00,81000,82121810,0.599428,0.000000
2016-02-29T02:01:02-08:00,81000,82121810,0.595020,0.000000
2016-02-29T02:01:03-08:00,81000,82121810,0.590803,0.000000
2016-02-29T02:01:04-08:00,81000,82121810,0.586583,0.000000
