date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-03-08T02:28:21-08:00,0,0,0.000000,0.000000
2016-03-08T02:28:22-08:00,19000,19253675,19.245623,19.245625
2016-03-08T02:28:23-08:00,46000,46598320,23.284620,27.321953
2016-03-08T02:28:24-08:00,72000,72978282,24.322840,26.402340
2016-03-08T02:28:25-08:00,105000,106424956,26.603996,33.448818
2016-03-08T02:28:26-08:00,134000,135850764,27.167578,29.421784
2016-03-08T02:28:27-08:00,153000,155117132,25.851434,19.269144
2016-03-08T02:28:28-08:00,177000,179470811,25.637266,24.352263
2016-03-08T02:28:29-08:00,195000,197776181,24.721035,18.306625
2016-03-08T02:28:30-08:00,200000,202846298,24.762839,26.511662
