date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-03-30T00:31:42-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:43-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:44-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:45-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:46-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:47-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:48-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:49-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:50-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:51-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:52-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:53-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:54-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:55-07:00,0,0,0.000000,0.000000
2016-03-30T00:31:56-07:00,1000,1022787,0.073054,1.022845
2016-03-30T00:31:57-07:00,2000,2041607,0.136085,1.016815
2016-03-30T00:31:58-07:00,2000,2041607,0.127597,0.000000
2016-03-30T00:31:59-07:00,3000,3048832,0.179338,1.007140
2016-03-30T00:32:00-07:00,4000,4065978,0.225881,1.017169
2016-03-30T00:32:01-07:00,5000,5080124,0.267366,1.014022
2016-03-30T00:32:02-07:00,6000,6100702,0.305028,1.020736
2016-03-30T00:32:03-07:00,7000,7120523,0.339065,1.019821
2016-03-30T00:32:04-07:00,8000,8131173,0.369590,1.010609
2016-03-30T00:32:05-07:00,8000,8131173,0.353522,0.000000
2016-03-30T00:32:06-07:00,9000,9149804,0.381234,1.018567
2016-03-30T00:32:07-07:00,10000,10167406,0.406689,1.017694
2016-03-30T00:32:08-07:00,11000,11182239,0.430078,1.014769
2016-03-30T00:32:09-07:00,12000,12199594,0.451829,1.017371
2016-03-30T00:32:10-07:00,12000,12199594,0.435662,0.000000
2016-03-30T00:32:11-07:00,12000,12199594,0.420670,0.000000
2016-03-30T00:32:12-07:00,13000,13210416,0.440341,1.010796
2016-03-30T00:32:13-07:00,14000,14218243,0.458645,1.007681
2016-03-30T00:32:14-07:00,15000,15232383,0.476004,1.014200
2016-03-30T00:32:15-07:00,16000,16235170,0.491968,1.002868
2016-03-30T00:32:16-07:00,16000,16235170,0.477471,0.000000
2016-03-30T00:32:17-07:00,16000,16235170,0.463856,0.000000
2016-03-30T00:32:18-07:00,17000,17246258,0.479056,1.011047
2016-03-30T00:32:19-07:00,18000,18250833,0.493259,1.004534
2016-03-30T00:32:20-07:00,19000,19253675,0.506669,1.002838
2016-03-30T00:32:21-07:00,19000,19253675,0.493653,0.000000
2016-03-30T00:32:22-07:00,19000,19253675,0.481337,0.000000
2016-03-30T00:32:23-07:00,20000,20262967,0.494213,1.009212
2016-03-30T00:32:24-07:00,21000,21274111,0.506520,1.011107
2016-03-30T00:32:25-07:00,22000,22292285,0.518419,1.018179
2016-03-30T00:32:26-07:00,22000,22292285,0.506637,0.000000
2016-03-30T00:32:27-07:00,23000,23315047,0.518103,1.022510
2016-03-30T00:32:28-07:00,23000,23315047,0.506844,0.000000
2016-03-30T00:32:29-07:00,24000,24329327,0.517640,1.014203
2016-03-30T00:32:30-07:00,24000,24329327,0.506856,0.000000
2016-03-30T00:32:31-07:00,25000,25346473,0.517269,1.017128
2016-03-30T00:32:32-07:00,25000,25346473,0.506905,0.000000
2016-03-30T00:32:33-07:00,26000,26366625,0.516984,1.021728
2016-03-30T00:32:34-07:00,26000,26366625,0.507046,0.000000
2016-03-30T00:32:35-07:00,27000,27387459,0.516740,1.020779
2016-03-30T00:32:36-07:00,28000,28401927,0.525957,1.014430
2016-03-30T00:32:37-07:00,29000,29417664,0.534863,1.015845
2016-03-30T00:32:38-07:00,29000,29417664,0.525294,0.000000
2016-03-30T00:32:39-07:00,29000,29417664,0.516096,0.000000
2016-03-30T00:32:40-07:00,30000,30428280,0.524621,1.010566
2016-03-30T00:32:41-07:00,31000,31424369,0.532612,0.996072
2016-03-30T00:32:42-07:00,32000,32429438,0.540487,1.005108
2016-03-30T00:32:43-07:00,32000,32429438,0.531583,0.000000
2016-03-30T00:32:44-07:00,32000,32429438,0.523052,0.000000
2016-03-30T00:32:45-07:00,33000,33439334,0.530779,1.009853
2016-03-30T00:32:46-07:00,33000,33439334,0.522486,0.000000
2016-03-30T00:32:47-07:00,34000,34450821,0.530009,1.011514
2016-03-30T00:32:48-07:00,34000,34450821,0.521963,0.000000
2016-03-30T00:32:49-07:00,35000,35466263,0.529155,0.993601
2016-03-30T00:32:50-07:00,35000,35466263,0.521559,0.000000
2016-03-30T00:32:51-07:00,36000,36473509,0.528598,1.007218
2016-03-30T00:32:52-07:00,37000,37483373,0.535473,1.009906
2016-03-30T00:32:53-07:00,37000,37483373,0.527917,0.000000
2016-03-30T00:32:54-07:00,37000,37483373,0.520599,0.000000
2016-03-30T00:32:55-07:00,38000,38493327,0.527303,1.009953
2016-03-30T00:32:56-07:00,38000,38493327,0.520177,0.000000
2016-03-30T00:32:57-07:00,39000,39507594,0.526765,1.014298
2016-03-30T00:32:58-07:00,40000,40523263,0.533197,1.015598
2016-03-30T00:32:59-07:00,40000,40523263,0.526260,0.000000
2016-03-30T00:33:00-07:00,40000,40523263,0.519526,0.000000
2016-03-30T00:33:01-07:00,41000,41538032,0.525795,1.014678
2016-03-30T00:33:02-07:00,42000,42550469,0.531878,1.012478
2016-03-30T00:33:03-07:00,42000,42550469,0.525311,0.000000
2016-03-30T00:33:04-07:00,43000,43560632,0.531211,1.008194
2016-03-30T00:33:05-07:00,43000,43560632,0.524812,0.000000
2016-03-30T00:33:06-07:00,43000,43560632,0.518502,0.000000
2016-03-30T00:33:07-07:00,44000,44565322,0.524295,1.016905
2016-03-30T00:33:08-07:00,45000,45589792,0.530111,1.024446
2016-03-30T00:33:09-07:00,45000,45589792,0.524006,0.000000
2016-03-30T00:33:10-07:00,45000,45589792,0.518052,0.000000
2016-03-30T00:33:11-07:00,46000,46607594,0.523678,1.019795
2016-03-30T00:33:12-07:00,47000,47623628,0.529149,1.016043
2016-03-30T00:33:13-07:00,47000,47623628,0.523334,0.000000
2016-03-30T00:33:14-07:00,48000,48636268,0.528652,1.012638
2016-03-30T00:33:15-07:00,48000,48636268,0.522957,0.000000
2016-03-30T00:33:16-07:00,48000,48636268,0.517373,0.000000
2016-03-30T00:33:17-07:00,49000,49648146,0.522610,1.017710
2016-03-30T00:33:18-07:00,50000,50660816,0.527714,1.012603
