date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-04-22T02:29:16-07:00,0,0,0.000000,0.000000
2016-04-22T02:29:17-07:00,1000,1022787,1.022354,1.022355
2016-04-22T02:29:18-07:00,3000,3048832,1.523884,2.025487
2016-04-22T02:29:19-07:00,4000,4065978,1.355128,1.017411
2016-04-22T02:29:20-07:00,6000,6100702,1.525005,2.034703
2016-04-22T02:29:21-07:00,6000,6100702,1.220021,0.000000
2016-04-22T02:29:22-07:00,8000,8131173,1.355086,2.030483
2016-04-22T02:29:23-07:00,9000,9149804,1.306507,1.015816
2016-04-22T02:29:24-07:00,12000,12199594,1.524857,3.058273
2016-04-22T02:29:25-07:00,16000,16235170,1.803794,4.035223
2016-04-22T02:29:26-07:00,19000,19253675,1.925267,3.018645
2016-04-22T02:29:27-07:00,21000,21274111,1.933866,2.019843
2016-04-22T02:29:28-07:00,21000,21274111,1.772779,0.000000
2016-04-22T02:29:29-07:00,25000,25346473,1.949660,4.072260
2016-04-22T02:29:30-07:00,29000,29408390,2.100516,4.061519
2016-04-22T02:29:31-07:00,32000,32420164,2.161272,3.011941
2016-04-22T02:29:32-07:00,35000,35456989,2.215991,3.036802
2016-04-22T02:29:33-07:00,36000,36464235,2.144664,1.005438
2016-04-22T02:29:34-07:00,38000,38484053,2.137949,2.023560
2016-04-22T02:29:35-07:00,42000,42541195,2.238951,4.056954
2016-04-22T02:29:36-07:00,46000,46598320,2.329856,4.057086
2016-04-22T02:29:37-07:00,49000,49638872,2.363697,3.040516
2016-04-22T02:29:38-07:00,53000,53700273,2.440863,4.061410
2016-04-22T02:29:39-07:00,54000,54709392,2.378587,1.008849
2016-04-22T02:29:40-07:00,56000,56740576,2.364145,2.031851
2016-04-22T02:29:41-07:00,60000,60803146,2.432078,4.062468
2016-04-22T02:29:42-07:00,63000,63839187,2.455303,3.035911
2016-04-22T02:29:43-07:00,66000,66888437,2.477301,3.049264
2016-04-22T02:29:44-07:00,69000,69937735,2.497731,3.049347
2016-04-22T02:29:45-07:00,70000,70947747,2.446279,1.008196
2016-04-22T02:29:46-07:00,70000,70947747,2.364782,0.000000
2016-04-22T02:29:47-07:00,71000,71966438,2.321463,1.020055
2016-04-22T02:29:48-07:00,75000,76036510,2.376105,4.070008
2016-04-22T02:29:49-07:00,78000,79096043,2.396810,3.059374
2016-04-22T02:29:50-07:00,80000,81122812,2.385927,2.026769
2016-04-22T02:29:51-07:00,83000,84152093,2.404296,3.028719
2016-04-22T02:29:52-07:00,86000,87163732,2.421178,3.012161
2016-04-22T02:29:53-07:00,88000,89196849,2.410689,2.033105
2016-04-22T02:29:54-07:00,88000,89196849,2.347246,0.000000
2016-04-22T02:29:55-07:00,88000,89196849,2.287072,0.000000
2016-04-22T02:29:56-07:00,90000,91240522,2.280988,2.043706
2016-04-22T02:29:57-07:00,92000,93263408,2.274686,2.022641
2016-04-22T02:29:58-07:00,95000,96303831,2.292921,3.040605
2016-04-22T02:29:59-07:00,99000,100355783,2.333828,4.051913
2016-04-22T02:30:00-07:00,100000,101365316,2.303726,1.009450
2016-04-22T02:30:01-07:00,103000,104413115,2.320265,3.048003
2016-04-22T02:30:02-07:00,106000,107450652,2.335857,3.037505
2016-04-22T02:30:03-07:00,109000,110495941,2.350951,3.045297
2016-04-22T02:30:04-07:00,110000,111515267,2.323196,1.019052
2016-04-22T02:30:05-07:00,110000,111515267,2.275803,0.000000
2016-04-22T02:30:06-07:00,111000,112522335,2.250428,1.007042
2016-04-22T02:30:07-07:00,114000,115572904,2.266114,3.050376
2016-04-22T02:30:08-07:00,117000,118616212,2.281054,3.042919
2016-04-22T02:30:09-07:00,120000,121642211,2.295112,3.026166
2016-04-22T02:30:10-07:00,120000,121642211,2.252609,0.000000
2016-04-22T02:30:11-07:00,124000,125700750,2.285448,4.058932
2016-04-22T02:30:12-07:00,127000,128742377,2.298951,3.041604
2016-04-22T02:30:13-07:00,128000,129761076,2.276487,1.018625
2016-04-22T02:30:14-07:00,129000,130779399,2.254800,1.018446
2016-04-22T02:30:15-07:00,130000,131798532,2.233855,1.019105
2016-04-22T02:30:16-07:00,130000,131798532,2.196623,0.000000
2016-04-22T02:30:17-07:00,133000,134843270,2.210524,3.044550
2016-04-22T02:30:18-07:00,137000,138907148,2.240418,4.064112
2016-04-22T02:30:19-07:00,140000,141956014,2.253251,3.048906
2016-04-22T02:30:20-07:00,144000,145993676,2.281130,4.037392
2016-04-22T02:30:21-07:00,147000,149034328,2.292818,3.040927
2016-04-22T02:30:22-07:00,150000,152079129,2.304210,3.044657
2016-04-22T02:30:23-07:00,153000,155117132,2.315162,3.038005
2016-04-22T02:30:24-07:00,156000,158165242,2.325941,3.048115
