date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-05-12T00:59:02-07:00,0,0,0.000000,0.000000
2016-05-12T00:59:03-07:00,0,0,0.000000,0.000000
2016-05-12T00:59:04-07:00,0,0,0.000000,0.000000
2016-05-12T00:59:05-07:00,0,0,0.000000,0.000000
2016-05-12T00:59:06-07:00,0,0,0.000000,0.000000
2016-05-12T00:59:07-07:00,1000,1022787,0.204489,1.021480
2016-05-12T00:59:08-07:00,1000,1022787,0.170452,0.000000
2016-05-12T00:59:09-07:00,2000,2041607,0.291639,1.018780
2016-05-12T00:59:10-07:00,2000,2041607,0.255185,0.000000
2016-05-12T00:59:11-07:00,3000,3048832,0.338724,1.006794
2016-05-12T00:59:12-07:00,3000,3048832,0.304766,0.000000
2016-05-12T00:59:13-07:00,3000,3048832,0.277155,0.000000
2016-05-12T00:59:14-07:00,3000,3048832,0.254060,0.000000
2016-05-12T00:59:15-07:00,4000,4065978,0.312755,1.017082
2016-05-12T00:59:16-07:00,4000,4065978,0.290417,0.000000
2016-05-12T00:59:17-07:00,4000,4065978,0.271056,0.000000
2016-05-12T00:59:18-07:00,4000,4065978,0.254114,0.000000
2016-05-12T00:59:19-07:00,4000,4065978,0.239168,0.000000
2016-05-12T00:59:20-07:00,5000,5080124,0.282222,1.014206
2016-05-12T00:59:21-07:00,6000,6100702,0.321081,1.020530
2016-05-12T00:59:22-07:00,7000,7120523,0.356018,1.019890
2016-05-12T00:59:23-07:00,7000,7120523,0.339065,0.000000
2016-05-12T00:59:24-07:00,8000,8131173,0.369590,1.010621
2016-05-12T00:59:25-07:00,8000,8131173,0.353521,0.000000
2016-05-12T00:59:26-07:00,9000,9149804,0.381234,1.018666
2016-05-12T00:59:27-07:00,9000,9149804,0.365985,0.000000
2016-05-12T00:59:28-07:00,9000,9149804,0.351909,0.000000
2016-05-12T00:59:29-07:00,9000,9149804,0.338875,0.000000
2016-05-12T00:59:30-07:00,9000,9149804,0.326772,0.000000
2016-05-12T00:59:31-07:00,9000,9149804,0.315505,0.000000
2016-05-12T00:59:32-07:00,10000,10167406,0.338908,1.017660
2016-05-12T00:59:33-07:00,11000,11182239,0.360712,1.014818
2016-05-12T00:59:34-07:00,11000,11182239,0.349440,0.000000
2016-05-12T00:59:35-07:00,12000,12199594,0.369680,1.017386
