date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-05-12T01:31:58-07:00,0,0,0.000000,0.000000
2016-05-12T01:31:59-07:00,0,0,0.000000,0.000000
2016-05-12T01:32:00-07:00,1000,1022787,0.511143,1.063679
2016-05-12T01:32:01-07:00,1000,1022787,0.340883,0.000000
2016-05-12T01:32:02-07:00,2000,2041607,0.510292,1.018357
2016-05-12T01:32:03-07:00,2000,2041607,0.408277,0.000000
2016-05-12T01:32:04-07:00,3000,3048832,0.508101,1.007329
2016-05-12T01:32:05-07:00,4000,4065978,0.580611,1.014627
2016-05-12T01:32:06-07:00,6000,6100702,0.762543,2.039740
2016-05-12T01:32:07-07:00,7000,7120523,0.791129,1.019838
2016-05-12T01:32:08-07:00,8000,8131173,0.813081,1.010662
2016-05-12T01:32:09-07:00,9000,9149804,0.831755,1.018466
2016-05-12T01:32:10-07:00,11000,11182239,0.931812,2.032582
2016-05-12T01:32:11-07:00,12000,12199594,0.938396,1.017406
2016-05-12T01:32:12-07:00,13000,13210416,0.943568,1.010808
2016-05-12T01:32:13-07:00,14000,14218243,0.947851,1.007815
2016-05-12T01:32:14-07:00,16000,16235170,1.014671,2.017073
2016-05-12T01:32:15-07:00,17000,17246258,1.014458,1.011049
2016-05-12T01:32:16-07:00,18000,18250833,1.013909,1.004581
2016-05-12T01:32:17-07:00,19000,19253675,1.013195,1.000380
2016-05-12T01:32:18-07:00,19000,19253675,0.962665,0.000000
2016-05-12T01:32:19-07:00,21000,21274111,1.013032,2.020376
2016-05-12T01:32:20-07:00,22000,22292285,1.013260,1.018048
2016-05-12T01:32:21-07:00,23000,23315047,1.013672,1.022721
2016-05-12T01:32:22-07:00,25000,25346473,1.056078,2.031494
2016-05-12T01:32:23-07:00,26000,26366625,1.054645,1.020235
2016-05-12T01:32:24-07:00,27000,27378185,1.052987,1.011531
2016-05-12T01:32:25-07:00,28000,28392653,1.051559,1.014451
2016-05-12T01:32:26-07:00,29000,29408390,1.050281,1.015770
2016-05-12T01:32:27-07:00,31000,31415095,1.083261,2.006740
2016-05-12T01:32:28-07:00,32000,32420164,1.080655,1.005062
2016-05-12T01:32:29-07:00,33000,33430060,1.078370,1.009817
2016-05-12T01:32:30-07:00,34000,34441547,1.076281,1.011533
2016-05-12T01:32:31-07:00,35000,35456989,1.074436,1.015410
