date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-06-02T08:05:07-07:00,0,0,0.000000,0.000000
2016-06-02T08:05:08-07:00,1000,1022787,1.021714,1.021714
2016-06-02T08:05:09-07:00,4000,4065978,2.027590,3.030236
2016-06-02T08:05:10-07:00,8000,8131173,2.709734,4.083975
2016-06-02T08:05:11-07:00,11000,11184761,2.795996,3.054962
2016-06-02T08:05:12-07:00,13000,13210416,2.641930,2.025630
2016-06-02T08:05:13-07:00,16000,16235170,2.705733,3.024770
2016-06-02T08:05:14-07:00,17000,17246258,2.463636,1.011044
2016-06-02T08:05:15-07:00,19000,19253675,2.406616,2.007452
2016-06-02T08:05:16-07:00,21000,21274111,2.363705,2.020412
2016-06-02T08:05:17-07:00,24000,24329327,2.432856,3.055232
2016-06-02T08:05:18-07:00,26000,26366625,2.396898,2.037310
2016-06-02T08:05:19-07:00,28000,28392653,2.365989,2.025989
2016-06-02T08:05:20-07:00,30000,30419006,2.339864,2.026353
2016-06-02T08:05:21-07:00,32000,32420164,2.315673,2.001177
2016-06-02T08:05:22-07:00,34000,34441547,2.296056,2.021405
2016-06-02T08:05:23-07:00,36000,36466853,2.279135,2.025318
2016-06-02T08:05:24-07:00,38000,38484053,2.263723,2.017140
2016-06-02T08:05:25-07:00,40000,40513989,2.250736,2.029952
2016-06-02T08:05:26-07:00,42000,42541195,2.238976,2.027283
2016-06-02T08:05:27-07:00,44000,44556048,2.227766,2.014775
2016-06-02T08:05:28-07:00,46000,46598320,2.218932,2.042258
2016-06-02T08:05:29-07:00,48000,48626994,2.210284,2.028668
2016-06-02T08:05:30-07:00,50000,50651542,2.202209,2.024549
2016-06-02T08:05:31-07:00,53000,53694240,2.237229,3.042708
2016-06-02T08:05:32-07:00,55000,55719182,2.228739,2.024967
2016-06-02T08:05:33-07:00,56000,56731191,2.181940,1.011986
2016-06-02T08:05:34-07:00,58000,58760715,2.176296,2.029546
2016-06-02T08:05:35-07:00,60000,60788814,2.171005,2.028140
2016-06-02T08:05:36-07:00,62000,62814906,2.166005,2.026012
2016-06-02T08:05:37-07:00,64000,64845859,2.161507,2.031044
2016-06-02T08:05:38-07:00,66000,66879052,2.157363,2.033053
2016-06-02T08:05:39-07:00,68000,68913829,2.153536,2.034894
2016-06-02T08:05:40-07:00,70000,70938362,2.149626,2.024508
2016-06-02T08:05:41-07:00,72000,72978282,2.146399,2.039909
2016-06-02T08:05:42-07:00,74000,75005393,2.142993,2.027188
2016-06-02T08:05:43-07:00,76000,77043768,2.140084,2.038284
2016-06-02T08:05:44-07:00,77000,78058943,2.109683,1.015192
2016-06-02T08:05:45-07:00,79000,80101904,2.107925,2.042902
2016-06-02T08:05:46-07:00,81000,82125309,2.105758,2.023414
2016-06-02T08:05:47-07:00,83000,84142708,2.103550,2.017430
2016-06-02T08:05:48-07:00,85000,86142022,2.101008,1.999318
2016-06-02T08:05:49-07:00,87000,88167283,2.099205,2.025283
2016-06-02T08:05:50-07:00,88000,89187464,2.074110,1.020152
2016-06-02T08:05:51-07:00,90000,91222379,2.073220,2.034947
2016-06-02T08:05:52-07:00,92000,93245265,2.072103,2.022939
2016-06-02T08:05:53-07:00,94000,95274291,2.071166,2.028988
2016-06-02T08:05:54-07:00,96000,97296504,2.070124,2.022212
2016-06-02T08:05:55-07:00,98000,99323751,2.069231,2.027240
2016-06-02T08:05:56-07:00,99000,100337640,2.047693,1.013879
2016-06-02T08:05:57-07:00,101000,102367255,2.047332,2.029643
2016-06-02T08:05:58-07:00,103000,104394972,2.046947,2.027706
2016-06-02T08:05:59-07:00,105000,106424956,2.046621,2.029999
2016-06-02T08:06:00-07:00,107000,108448020,2.046176,2.023053
2016-06-02T08:06:01-07:00,108000,109462877,2.027078,1.014859
2016-06-02T08:06:02-07:00,111000,112504192,2.045518,3.041307
2016-06-02T08:06:03-07:00,112000,113523681,2.027197,1.019487
2016-06-02T08:06:04-07:00,114000,115554761,2.027265,2.031126
2016-06-02T08:06:05-07:00,116000,117586319,2.027340,2.031562
2016-06-02T08:06:06-07:00,117000,118598069,2.010106,1.011149
2016-06-02T08:06:07-07:00,120000,121633453,2.027213,3.037152
2016-06-02T08:06:08-07:00,122000,123661672,2.027231,2.028258
2016-06-02T08:06:09-07:00,123000,124681470,2.010981,1.019768
2016-06-02T08:06:10-07:00,125000,126701730,2.011129,2.020292
2016-06-02T08:06:11-07:00,127000,128733619,2.011454,2.031945
2016-06-02T08:06:12-07:00,129000,130770641,2.011846,2.036939
2016-06-02T08:06:13-07:00,131000,132805297,2.012191,2.034590
2016-06-02T08:06:14-07:00,133000,134834512,2.012446,2.029322
2016-06-02T08:06:15-07:00,134000,135850764,1.997796,1.016256
2016-06-02T08:06:16-07:00,136000,137881273,1.998270,2.030460
2016-06-02T08:06:17-07:00,138000,139910864,1.998717,2.029588
2016-06-02T08:06:18-07:00,140000,141947256,1.999248,2.036416
2016-06-02T08:06:19-07:00,141000,142933900,1.985185,0.986660
2016-06-02T08:06:20-07:00,141000,142933900,1.957990,0.000000
2016-06-02T08:06:21-07:00,143000,144965676,1.958987,2.031806
2016-06-02T08:06:22-07:00,144000,145984918,1.946458,1.019253
2016-06-02T08:06:23-07:00,146000,148013691,1.947540,2.028692
2016-06-02T08:06:24-07:00,148000,150045130,1.948630,2.031475
2016-06-02T08:06:25-07:00,150000,152070371,1.949612,2.025236
2016-06-02T08:06:26-07:00,152000,154106924,1.950713,2.036563
2016-06-02T08:06:27-07:00,154000,156138110,1.951719,2.031202
2016-06-02T08:06:28-07:00,155000,157156396,1.940194,1.018268
2016-06-02T08:06:29-07:00,157000,159179807,1.941209,2.023422
2016-06-02T08:06:30-07:00,159000,161224782,1.942460,2.044978
2016-06-02T08:06:31-07:00,161000,163264027,1.943611,2.039219
2016-06-02T08:06:32-07:00,163000,165303337,1.944738,2.039344
2016-06-02T08:06:33-07:00,165000,167327736,1.945664,2.024406
2016-06-02T08:06:34-07:00,166000,168340776,1.934943,1.012990
2016-06-02T08:06:35-07:00,168000,170372934,1.936049,2.032222
2016-06-02T08:06:36-07:00,170000,172395905,1.937026,2.023031
2016-06-02T08:06:37-07:00,172000,174417615,1.937967,2.021692
2016-06-02T08:06:38-07:00,174000,176436815,1.938859,2.019184
2016-06-02T08:06:39-07:00,175000,177451841,1.928817,1.015022
2016-06-02T08:06:40-07:00,177000,179470811,1.929787,2.018971
2016-06-02T08:06:41-07:00,179000,181494267,1.930783,2.023463
2016-06-02T08:06:42-07:00,181000,183536643,1.931958,2.042354
2016-06-02T08:06:43-07:00,183000,185572664,1.933042,2.036056
2016-06-02T08:06:44-07:00,184000,186591541,1.923617,1.018855
2016-06-02T08:06:45-07:00,186000,188622410,1.924712,2.030892
2016-06-02T08:06:46-07:00,188000,190655568,1.925807,2.033157
2016-06-02T08:06:47-07:00,190000,192696744,1.926961,2.041183
2016-06-02T08:06:48-07:00,191000,193716448,1.917977,1.019621
2016-06-02T08:06:49-07:00,193000,195747012,1.919082,2.030724
2016-06-02T08:06:50-07:00,195000,197776181,1.920151,2.029169
2016-06-02T08:06:51-07:00,197000,199804108,1.921187,2.027899
2016-06-02T08:06:52-07:00,198000,200819774,1.912564,1.015701
2016-06-02T08:06:53-07:00,200000,202846298,1.918266,2.722771
2016-06-02T08:06:53-07:00,200000,202846298,1.913638,0.000000
2016-06-02T08:06:54-07:00,200000,202846298,1.895754,0.000000
2016-06-02T08:06:55-07:00,200000,202846298,1.878201,0.000000
