date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-07-29T02:21:51-07:00,0,0,0.000000,0.000000
2016-07-29T02:21:52-07:00,1000,1022787,1.022246,1.022246
2016-07-29T02:21:53-07:00,3000,3048832,1.523988,2.025979
2016-07-29T02:21:54-07:00,5000,5080124,1.693051,2.031267
2016-07-29T02:21:55-07:00,8000,8131173,2.032486,3.050954
2016-07-29T02:21:56-07:00,10000,10167406,2.033200,2.036057
2016-07-29T02:21:57-07:00,11000,11182239,1.863492,1.014835
2016-07-29T02:21:58-07:00,13000,13210416,1.887043,2.028377
2016-07-29T02:21:59-07:00,15000,15232383,1.903912,2.022005
2016-07-29T02:22:00-07:00,16000,16235170,1.803780,1.002721
2016-07-29T02:22:01-07:00,18000,18250833,1.824967,2.015660
2016-07-29T02:22:02-07:00,20000,20262967,1.841987,2.012205
2016-07-29T02:22:03-07:00,22000,22292285,1.857584,2.029146
2016-07-29T02:22:04-07:00,24000,24329327,1.871391,2.037095
2016-07-29T02:22:05-07:00,26000,26366625,1.883244,2.037342
2016-07-29T02:22:06-07:00,28000,28392653,1.892769,2.026135
2016-07-29T02:22:07-07:00,30000,30419006,1.901112,2.026248
2016-07-29T02:22:08-07:00,32000,32420164,1.906999,2.001203
2016-07-29T02:22:09-07:00,33000,33430060,1.857160,1.009877
2016-07-29T02:22:10-07:00,35000,35456989,1.866097,2.026973
2016-07-29T02:22:11-07:00,37000,37474099,1.873649,2.017136
2016-07-29T02:22:12-07:00,39000,39498320,1.880816,2.024163
2016-07-29T02:22:13-07:00,41000,41528758,1.887616,2.030427
2016-07-29T02:22:14-07:00,42000,42541195,1.849567,1.012449
2016-07-29T02:22:15-07:00,44000,44556048,1.856453,2.014836
2016-07-29T02:22:16-07:00,46000,46598320,1.863891,2.042416
2016-07-29T02:22:17-07:00,48000,48626994,1.870224,2.028534
2016-07-29T02:22:18-07:00,50000,50651542,1.875935,2.024424
2016-07-29T02:22:19-07:00,52000,52685121,1.881571,2.033765
2016-07-29T02:22:20-07:00,54000,54709392,1.886491,2.024253
2016-07-29T02:22:21-07:00,56000,56731191,1.891001,2.021782
2016-07-29T02:22:22-07:00,58000,58760715,1.895468,2.029500
2016-07-29T02:22:23-07:00,59000,59777079,1.867999,1.016396
2016-07-29T02:22:24-07:00,61000,61805178,1.872846,2.027947
2016-07-29T02:22:25-07:00,63000,63829802,1.877310,2.024644
2016-07-29T02:22:26-07:00,66000,66879052,1.910799,3.049535
2016-07-29T02:22:27-07:00,68000,68913829,1.914201,2.033187
2016-07-29T02:22:28-07:00,69000,69928350,1.889924,1.015260
2016-07-29T02:22:29-07:00,71000,71957053,1.893577,2.028743
2016-07-29T02:22:30-07:00,73000,73993472,1.897238,2.036386
2016-07-29T02:22:31-07:00,75000,76027125,1.900649,2.033676
2016-07-29T02:22:32-07:00,77000,78058943,1.903848,2.031821
2016-07-29T02:22:33-07:00,79000,80101904,1.907160,2.042932
2016-07-29T02:22:34-07:00,81000,82125309,1.909862,2.023367
2016-07-29T02:22:35-07:00,83000,84142708,1.912307,2.017409
2016-07-29T02:22:36-07:00,85000,86142022,1.914242,1.999386
2016-07-29T02:22:37-07:00,87000,88167283,1.916590,2.022092
2016-07-29T02:22:38-07:00,88000,89187464,1.897582,1.021789
2016-07-29T02:22:39-07:00,90000,91222379,1.900441,2.034817
2016-07-29T02:22:40-07:00,92000,93245265,1.902939,2.022832
2016-07-29T02:22:41-07:00,94000,95274291,1.905463,2.029148
2016-07-29T02:22:42-07:00,96000,97296504,1.907751,2.022144
2016-07-29T02:22:43-07:00,98000,99323751,1.910050,2.027311
2016-07-29T02:22:44-07:00,100000,101347173,1.912188,2.023387
2016-07-29T02:22:45-07:00,100000,101347173,1.876778,0.000000
2016-07-29T02:22:46-07:00,100000,101347173,1.842655,0.000000
2016-07-29T02:22:47-07:00,100000,101347173,1.809751,0.000000
2016-07-29T02:22:48-07:00,101000,102367255,1.795898,1.020115
2016-07-29T02:22:49-07:00,103000,104394972,1.799894,2.027669
2016-07-29T02:22:50-07:00,105000,106424956,1.803727,2.025563
2016-07-29T02:22:51-07:00,107000,108448020,1.807449,2.027544
2016-07-29T02:22:52-07:00,109000,110477798,1.811092,2.029684
2016-07-29T02:22:53-07:00,111000,112504192,1.814565,2.026400
2016-07-29T02:22:54-07:00,113000,114538386,1.818051,2.034157
2016-07-29T02:22:55-07:00,115000,116576166,1.821482,2.037669
2016-07-29T02:22:56-07:00,117000,118598069,1.824570,2.022223
2016-07-29T02:22:57-07:00,118000,119617244,1.812366,1.019115
2016-07-29T02:22:58-07:00,121000,122644201,1.830493,3.026931
2016-07-29T02:22:59-07:00,123000,124681470,1.833534,2.037266
2016-07-29T02:23:00-07:00,124000,125691992,1.821607,1.010544
2016-07-29T02:23:01-07:00,126000,127716267,1.824502,2.024274
2016-07-29T02:23:02-07:00,128000,129752318,1.827482,2.036036
2016-07-29T02:23:03-07:00,130000,131789774,1.830398,2.037441
2016-07-29T02:23:04-07:00,132000,133817945,1.833107,2.028128
2016-07-29T02:23:05-07:00,134000,135850764,1.835806,2.032863
2016-07-29T02:23:06-07:00,137000,138898390,1.851964,3.047652
2016-07-29T02:23:07-07:00,140000,141947256,1.867711,3.048777
2016-07-29T02:23:08-07:00,142000,143945090,1.869402,1.997866
2016-07-29T02:23:09-07:00,145000,146999645,1.884596,3.054634
2016-07-29T02:23:10-07:00,148000,150045130,1.899291,3.045422
2016-07-29T02:23:11-07:00,149000,151058096,1.888212,1.012999
2016-07-29T02:23:12-07:00,152000,154106924,1.902540,3.048657
2016-07-29T02:23:13-07:00,154000,156138110,1.904109,2.031242
2016-07-29T02:23:14-07:00,157000,159179807,1.917815,3.041655
2016-07-29T02:23:15-07:00,159000,161224782,1.919329,2.044995
2016-07-29T02:23:16-07:00,161000,163264027,1.920740,2.039266
2016-07-29T02:23:17-07:00,164000,166322092,1.933964,3.057989
2016-07-29T02:23:18-07:00,166000,168340776,1.934937,2.018685
2016-07-29T02:23:19-07:00,168000,170372934,1.936042,2.032156
2016-07-29T02:23:20-07:00,170000,172395905,1.937019,2.022994
2016-07-29T02:23:21-07:00,172000,174417615,1.937961,2.021765
2016-07-29T02:23:22-07:00,175000,177451841,1.950007,3.034101
2016-07-29T02:23:23-07:00,177000,179470811,1.950756,2.018940
2016-07-29T02:23:24-07:00,180000,182509721,1.962457,3.038927
2016-07-29T02:23:25-07:00,182000,184552836,1.963315,2.043133
2016-07-29T02:23:26-07:00,185000,187603988,1.974766,3.051238
2016-07-29T02:23:27-07:00,186000,188622410,1.964804,1.018392
2016-07-29T02:23:28-07:00,188000,190655568,1.965509,2.033188
2016-07-29T02:23:29-07:00,190000,192696744,1.966281,2.041166
2016-07-29T02:23:30-07:00,192000,194732853,1.966986,2.036098
2016-07-29T02:23:31-07:00,195000,197776181,1.977750,3.043420
2016-07-29T02:23:32-07:00,197000,199804108,1.978246,2.027861
2016-07-29T02:23:33-07:00,199000,201832676,1.978740,2.028591
2016-07-29T02:23:33-07:00,200000,202846298,1.983676,3.941760
