date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-09-02T02:33:34-07:00,0,0,0.000000,0.000000
2016-09-02T02:33:35-07:00,2000,2041607,2.040373,2.040380
2016-09-02T02:33:36-07:00,5000,5080124,2.538803,3.037342
2016-09-02T02:33:37-07:00,7000,7120523,2.372557,2.039971
2016-09-02T02:33:38-07:00,11000,11182239,2.793901,4.056959
2016-09-02T02:33:39-07:00,16000,16235170,3.246655,5.061996
2016-09-02T02:33:40-07:00,19000,19253675,3.208595,3.018288
2016-09-02T02:33:41-07:00,23000,23315047,3.326965,4.032152
2016-09-02T02:33:42-07:00,26000,26366625,3.295570,3.073940
2016-09-02T02:33:43-07:00,29000,29408390,3.267364,3.041705
2016-09-02T02:33:44-07:00,32000,32420164,3.241804,3.011746
2016-09-02T02:33:45-07:00,36000,36464235,3.314743,4.044210
2016-09-02T02:33:46-07:00,39000,39498320,3.291157,3.031887
2016-09-02T02:33:47-07:00,42000,42541195,3.271161,3.032036
2016-09-02T02:33:48-07:00,46000,46598320,3.328301,4.074598
2016-09-02T02:33:49-07:00,49000,49638872,3.309116,3.040517
2016-09-02T02:33:50-07:00,52000,52685121,3.292686,3.046231
2016-09-02T02:33:51-07:00,55000,55719182,3.276633,3.020885
2016-09-02T02:33:52-07:00,57000,57747920,3.208097,2.037576
2016-09-02T02:33:53-07:00,60000,60793761,3.199563,3.045932
2016-09-02T02:33:54-07:00,63000,63829802,3.191389,3.036087
2016-09-02T02:33:55-07:00,67000,67895973,3.233043,4.066131
2016-09-02T02:33:56-07:00,68000,68913829,3.132363,1.017907
2016-09-02T02:33:57-07:00,71000,71957053,3.127517,3.021652
2016-09-02T02:33:58-07:00,74000,75005393,3.125139,3.070056
2016-09-02T02:33:59-07:00,77000,78058943,3.122274,3.053510
2016-09-02T02:34:00-07:00,81000,82125309,3.158591,4.066600
2016-09-02T02:34:01-07:00,85000,86142022,3.190372,4.016665
2016-09-02T02:34:02-07:00,87000,88167283,3.148760,2.025241
2016-09-02T02:34:03-07:00,87000,88167283,3.040172,0.000000
2016-09-02T02:34:04-07:00,89000,90201545,3.006656,2.034541
2016-09-02T02:34:05-07:00,93000,94265024,3.040743,4.063354
2016-09-02T02:34:06-07:00,96000,97296504,3.040449,3.031326
2016-09-02T02:34:07-07:00,98000,99323751,3.009751,2.027336
2016-09-02T02:34:08-07:00,102000,103379135,3.040502,4.055288
2016-09-02T02:34:09-07:00,105000,106424956,3.040657,3.045937
2016-09-02T02:34:10-07:00,107000,108448020,3.012387,2.022963
2016-09-02T02:34:11-07:00,108000,109462877,2.958406,1.014925
2016-09-02T02:34:12-07:00,111000,112504192,2.960592,3.041461
2016-09-02T02:34:13-07:00,115000,116576166,2.989083,4.071701
2016-09-02T02:34:14-07:00,117000,118598069,2.964904,2.021891
2016-09-02T02:34:15-07:00,118000,119617244,2.917452,1.019236
2016-09-02T02:34:16-07:00,121000,122644201,2.920049,3.026528
2016-09-02T02:34:17-07:00,125000,126701730,2.946508,4.057912
2016-09-02T02:34:18-07:00,127000,128733619,2.925719,2.031810
2016-09-02T02:34:19-07:00,127000,128733619,2.860708,0.000000
2016-09-02T02:34:20-07:00,128000,129752318,2.820666,1.018711
2016-09-02T02:34:21-07:00,132000,133817945,2.847150,4.065365
2016-09-02T02:34:22-07:00,135000,136869906,2.851420,3.052125
2016-09-02T02:34:23-07:00,137000,138898390,2.834622,2.028353
2016-09-02T02:34:24-07:00,141000,142933900,2.858644,4.035820
2016-09-02T02:34:25-07:00,145000,146999645,2.882308,4.065460
2016-09-02T02:34:26-07:00,147000,149025570,2.865840,2.025935
2016-09-02T02:34:27-07:00,151000,153084085,2.888343,4.058519
2016-09-02T02:34:28-07:00,154000,156138110,2.891409,3.053882
2016-09-02T02:34:29-07:00,157000,159179807,2.894144,3.041876
2016-09-02T02:34:30-07:00,161000,163264027,2.915396,4.084238
2016-09-02T02:34:31-07:00,165000,167327736,2.935540,4.063576
2016-09-02T02:34:32-07:00,169000,171379789,2.954792,4.052248
2016-09-02T02:34:33-07:00,173000,175426418,2.973295,4.046462
2016-09-02T02:34:34-07:00,176000,178458012,2.974269,3.031738
2016-09-02T02:34:35-07:00,180000,182509721,2.991930,4.051520
2016-09-02T02:34:36-07:00,184000,186591541,3.009508,4.081797
2016-09-02T02:34:37-07:00,189000,191675588,3.042438,5.084103
2016-09-02T02:34:38-07:00,194000,196757231,3.074299,5.081591
2016-09-02T02:34:39-07:00,194000,196757231,3.027004,0.000000
2016-09-02T02:34:40-07:00,195000,197776181,2.996577,1.018910
2016-09-02T02:34:41-07:00,197000,199804108,2.982121,2.027950
2016-09-02T02:34:42-07:00,200000,202846298,2.998870,4.751786
2016-09-02T02:34:42-07:00,200000,202846298,2.983005,0.000000
2016-09-02T02:34:43-07:00,200000,202846298,2.939773,0.000000
2016-09-02T02:34:44-07:00,200000,202846298,2.897777,0.000000
2016-09-02T02:34:45-07:00,200000,202846298,2.856960,0.000000
2016-09-02T02:34:46-07:00,200000,202846298,2.817281,0.000000
2016-09-02T02:34:47-07:00,200000,202846298,2.778689,0.000000
2016-09-02T02:34:48-07:00,200000,202846298,2.741140,0.000000
2016-09-02T02:34:49-07:00,200000,202846298,2.704593,0.000000
2016-09-02T02:34:50-07:00,200000,202846298,2.669004,0.000000
2016-09-02T02:34:51-07:00,200000,202846298,2.634340,0.000000
2016-09-02T02:34:52-07:00,200000,202846298,2.600570,0.000000
2016-09-02T02:34:53-07:00,200000,202846298,2.567651,0.000000
2016-09-02T02:34:54-07:00,200000,202846298,2.535554,0.000000
2016-09-02T02:34:55-07:00,200000,202846298,2.504252,0.000000
2016-09-02T02:34:56-07:00,200000,202846298,2.473715,0.000000
2016-09-02T02:34:57-07:00,200000,202846298,2.443911,0.000000
