date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-09-06T01:00:23-07:00,0,0,0.000000,0.000000
2016-09-06T01:00:24-07:00,0,0,0.000000,0.000000
2016-09-06T01:00:25-07:00,0,0,0.000000,0.000000
2016-09-06T01:00:26-07:00,1000,1022787,0.340881,1.022782
2016-09-06T01:00:27-07:00,2000,2041607,0.510340,1.018760
2016-09-06T01:00:28-07:00,2000,2041607,0.408283,0.000000
2016-09-06T01:00:29-07:00,3000,3048832,0.508094,1.007172
2016-09-06T01:00:30-07:00,3000,3048832,0.435517,0.000000
2016-09-06T01:00:31-07:00,4000,4065978,0.508219,1.017179
2016-09-06T01:00:32-07:00,4000,4065978,0.451536,0.000000
2016-09-06T01:00:33-07:00,4000,4065978,0.406578,0.000000
2016-09-06T01:00:34-07:00,4000,4065978,0.369616,0.000000
2016-09-06T01:00:35-07:00,4000,4065978,0.338815,0.000000
2016-09-06T01:00:36-07:00,4000,4065978,0.312755,0.000000
2016-09-06T01:00:37-07:00,5000,5080124,0.362855,1.014258
2016-09-06T01:00:38-07:00,5000,5080124,0.338664,0.000000
2016-09-06T01:00:39-07:00,6000,6100702,0.381282,1.020559
2016-09-06T01:00:40-07:00,7000,7120523,0.418843,1.019885
2016-09-06T01:00:41-07:00,7000,7120523,0.395574,0.000000
2016-09-06T01:00:42-07:00,8000,8131173,0.427945,1.010630
2016-09-06T01:00:43-07:00,8000,8131173,0.406549,0.000000
2016-09-06T01:00:44-07:00,9000,9149804,0.435695,1.018625
2016-09-06T01:00:45-07:00,9000,9149804,0.415890,0.000000
2016-09-06T01:00:46-07:00,9000,9149804,0.397789,0.000000
2016-09-06T01:00:47-07:00,9000,9149804,0.381216,0.000000
2016-09-06T01:00:48-07:00,9000,9149804,0.365985,0.000000
2016-09-06T01:00:49-07:00,9000,9149804,0.351908,0.000000
2016-09-06T01:00:50-07:00,10000,10167406,0.376564,1.017661
2016-09-06T01:00:51-07:00,11000,11182239,0.399359,1.014838
2016-09-06T01:00:52-07:00,11000,11182239,0.385588,0.000000
2016-09-06T01:00:53-07:00,12000,12199594,0.406647,1.017423
2016-09-06T01:00:54-07:00,12000,12199594,0.393529,0.000000
2016-09-06T01:00:55-07:00,13000,13210416,0.412820,1.010887
2016-09-06T01:00:56-07:00,13000,13210416,0.400236,0.000000
2016-09-06T01:00:57-07:00,14000,14218243,0.418143,1.011155
2016-09-06T01:00:58-07:00,14000,14218243,0.406230,0.000000
2016-09-06T01:00:59-07:00,14000,14218243,0.394946,0.000000
2016-09-06T01:01:00-07:00,14000,14218243,0.384272,0.000000
2016-09-06T01:01:01-07:00,14000,14218243,0.374160,0.000000
2016-09-06T01:01:02-07:00,14000,14218243,0.364566,0.000000
2016-09-06T01:01:03-07:00,15000,15232383,0.380805,1.014150
2016-09-06T01:01:04-07:00,16000,16235170,0.395975,1.002767
2016-09-06T01:01:05-07:00,16000,16235170,0.386547,0.000000
2016-09-06T01:01:06-07:00,17000,17246258,0.401071,1.011034
2016-09-06T01:01:07-07:00,17000,17246258,0.391956,0.000000
2016-09-06T01:01:08-07:00,18000,18250833,0.405570,1.004640
2016-09-06T01:01:09-07:00,18000,18250833,0.396753,0.000000
2016-09-06T01:01:10-07:00,19000,19253675,0.409648,1.002867
2016-09-06T01:01:11-07:00,19000,19253675,0.401114,0.000000
2016-09-06T01:01:12-07:00,19000,19253675,0.392928,0.000000
2016-09-06T01:01:13-07:00,19000,19253675,0.385070,0.000000
2016-09-06T01:01:14-07:00,19000,19253675,0.377519,0.000000
2016-09-06T01:01:15-07:00,19000,19253675,0.370259,0.000000
2016-09-06T01:01:16-07:00,20000,20262967,0.382316,1.009304
2016-09-06T01:01:17-07:00,20000,20262967,0.375237,0.000000
2016-09-06T01:01:18-07:00,21000,21274111,0.386799,1.011170
2016-09-06T01:01:19-07:00,22000,22292285,0.398073,1.018157
2016-09-06T01:01:20-07:00,22000,22292285,0.391089,0.000000
2016-09-06T01:01:21-07:00,23000,23315047,0.401981,1.022835
2016-09-06T01:01:22-07:00,23000,23315047,0.395167,0.000000
2016-09-06T01:01:23-07:00,24000,24329327,0.405486,1.014304
2016-09-06T01:01:24-07:00,24000,24329327,0.398838,0.000000
2016-09-06T01:01:25-07:00,24000,24329327,0.392405,0.000000
2016-09-06T01:01:26-07:00,24000,24329327,0.386177,0.000000
2016-09-06T01:01:27-07:00,24000,24329327,0.380139,0.000000
2016-09-06T01:01:28-07:00,24000,24329327,0.374294,0.000000
2016-09-06T01:01:29-07:00,25000,25346473,0.384035,1.017234
2016-09-06T01:01:30-07:00,25000,25346473,0.378303,0.000000
2016-09-06T01:01:31-07:00,26000,26366625,0.387742,1.020175
2016-09-06T01:01:32-07:00,27000,27378185,0.396782,1.011513
2016-09-06T01:01:33-07:00,27000,27378185,0.391114,0.000000
2016-09-06T01:01:34-07:00,28000,28392653,0.399894,1.014459
2016-09-06T01:01:35-07:00,28000,28392653,0.394340,0.000000
2016-09-06T01:01:36-07:00,28000,28392653,0.388938,0.000000
2016-09-06T01:01:37-07:00,29000,29408390,0.397408,1.015694
2016-09-06T01:01:38-07:00,29000,29408390,0.392109,0.000000
2016-09-06T01:01:39-07:00,29000,29408390,0.386950,0.000000
2016-09-06T01:01:40-07:00,29000,29408390,0.381925,0.000000
2016-09-06T01:01:41-07:00,29000,29408390,0.377028,0.000000
2016-09-06T01:01:42-07:00,29000,29408390,0.372256,0.000000
2016-09-06T01:01:43-07:00,30000,30419006,0.380235,1.010656
2016-09-06T01:01:44-07:00,31000,31415095,0.387838,0.996081
2016-09-06T01:01:45-07:00,31000,31415095,0.383109,0.000000
2016-09-06T01:01:46-07:00,32000,32420164,0.390602,1.005036
2016-09-06T01:01:47-07:00,33000,33430060,0.397975,1.009972
2016-09-06T01:01:48-07:00,33000,33430060,0.393293,0.000000
2016-09-06T01:01:49-07:00,34000,34441547,0.400481,1.011528
2016-09-06T01:01:50-07:00,34000,34441547,0.395877,0.000000
2016-09-06T01:01:51-07:00,34000,34441547,0.391379,0.000000
2016-09-06T01:01:52-07:00,34000,34441547,0.386981,0.000000
2016-09-06T01:01:53-07:00,34000,34441547,0.382682,0.000000
2016-09-06T01:01:54-07:00,34000,34441547,0.378474,0.000000
2016-09-06T01:01:55-07:00,34000,34441547,0.374362,0.000000
2016-09-06T01:01:56-07:00,34000,34441547,0.370337,0.000000
2016-09-06T01:01:57-07:00,35000,35456989,0.377200,1.015588
2016-09-06T01:01:58-07:00,36000,36464235,0.383832,1.007277
2016-09-06T01:01:59-07:00,37000,37474099,0.390353,1.009868
2016-09-06T01:02:00-07:00,37000,37474099,0.386329,0.000000
2016-09-06T01:02:01-07:00,37000,37474099,0.382387,0.000000
2016-09-06T01:02:02-07:00,38000,38484053,0.388726,1.009979
2016-09-06T01:02:03-07:00,38000,38484053,0.384839,0.000000
2016-09-06T01:02:04-07:00,39000,39498320,0.391070,1.014249
2016-09-06T01:02:05-07:00,39000,39498320,0.387237,0.000000
