date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-09-12T16:57:39-07:00,0,0,0.000000,0.000000
2016-09-12T16:57:40-07:00,3000,3048832,3.044259,3.044269
2016-09-12T16:57:41-07:00,8000,8131173,4.062572,5.082433
2016-09-12T16:57:42-07:00,16000,16235170,5.408930,8.103468
2016-09-12T16:57:43-07:00,22000,22292285,5.570889,6.057009
2016-09-12T16:57:44-07:00,25000,25346473,5.067743,3.054298
2016-09-12T16:57:45-07:00,28000,28392653,4.730869,3.046052
2016-09-12T16:57:46-07:00,35000,35453928,5.063716,7.061343
2016-09-12T16:57:47-07:00,39000,39495259,4.935940,4.041312
2016-09-12T16:57:48-07:00,43000,43548297,4.837872,4.053151
2016-09-12T16:57:49-07:00,50000,50648481,5.064061,7.100078
2016-09-12T16:57:50-07:00,51000,51666599,4.696282,1.018075
2016-09-12T16:57:51-07:00,56000,56728130,4.726722,5.061621
2016-09-12T16:57:52-07:00,60000,60785988,4.675275,4.057832
2016-09-12T16:57:53-07:00,62000,62807133,4.485720,2.021175
2016-09-12T16:57:54-07:00,66000,66871279,4.457618,4.064146
2016-09-12T16:57:55-07:00,70000,70930589,4.432724,4.059267
2016-09-12T16:57:56-07:00,75000,76019352,4.471312,5.088790
2016-09-12T16:57:57-07:00,80000,81105654,4.505467,5.086135
2016-09-12T16:57:58-07:00,80000,81105654,4.268357,0.000000
2016-09-12T16:57:59-07:00,85000,86134249,4.306391,5.029187
2016-09-12T16:58:00-07:00,90000,91214606,4.343229,5.079988
2016-09-12T16:58:01-07:00,91000,92224816,4.191733,1.010177
2016-09-12T16:58:02-07:00,92000,93240553,4.053655,1.015735
2016-09-12T16:58:03-07:00,96000,97291792,4.053553,4.051193
2016-09-12T16:58:04-07:00,100000,101342461,4.053456,4.051150
2016-09-12T16:58:05-07:00,104000,105400918,4.053642,4.058281
2016-09-12T16:58:06-07:00,109000,110473086,4.091362,5.072140
2016-09-12T16:58:07-07:00,112000,113518969,4.054023,3.045827
2016-09-12T16:58:08-07:00,116000,117581607,4.054320,4.062648
2016-09-12T16:58:09-07:00,119000,120616724,4.020350,3.035149
2016-09-12T16:58:10-07:00,123000,124681470,4.021779,4.064643
2016-09-12T16:58:11-07:00,128000,129752318,4.054565,5.071004
2016-09-12T16:58:12-07:00,132000,133817945,4.054897,4.065532
2016-09-12T16:58:13-07:00,138000,139910864,4.114836,6.092902
2016-09-12T16:58:14-07:00,144000,145984918,4.141703,4.874887
2016-09-12T16:58:15-07:00,146000,148013691,4.111313,2.690663
2016-09-12T16:58:16-07:00,150000,152070371,4.109841,4.056845
2016-09-12T16:58:17-07:00,154000,156138110,4.108729,4.067590
2016-09-12T16:58:18-07:00,158000,160200101,4.107530,4.061963
2016-09-12T16:58:19-07:00,163000,165303337,4.132424,5.103357
2016-09-12T16:58:20-07:00,168000,170372934,4.155277,5.069361
2016-09-12T16:58:21-07:00,176000,178458012,4.248838,8.084910
2016-09-12T16:58:22-07:00,177000,179470811,4.173586,1.012827
2016-09-12T16:58:23-07:00,181000,183536643,4.171139,4.065874
2016-09-12T16:58:24-07:00,185000,187603988,4.168835,4.067463
2016-09-12T16:58:25-07:00,190000,192696744,4.182784,4.770823
2016-09-12T16:58:26-07:00,194000,196757231,4.186187,4.354344
2016-09-12T16:58:27-07:00,198000,200819774,4.183608,4.062376
2016-09-12T16:58:27-07:00,200000,202846298,4.192172,5.258886
2016-09-12T16:58:28-07:00,200000,202846298,4.139588,0.000000
