date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-09-30T01:40:56-07:00,0,0,0.000000,0.000000
2016-09-30T01:40:57-07:00,0,0,0.000000,0.000000
2016-09-30T01:40:58-07:00,2000,2041607,1.017034,2.027505
2016-09-30T01:40:59-07:00,3000,3048832,1.016110,1.014241
2016-09-30T01:41:00-07:00,5000,5080124,1.269866,2.031239
2016-09-30T01:41:01-07:00,6000,6100702,1.220011,1.020570
2016-09-30T01:41:02-07:00,8000,8131173,1.355080,2.030508
2016-09-30T01:41:03-07:00,9000,9149804,1.307026,1.018667
2016-09-30T01:41:04-07:00,10000,10167406,1.270837,1.017516
2016-09-30T01:41:05-07:00,11000,11182239,1.242392,1.014824
2016-09-30T01:41:06-07:00,13000,13210416,1.320975,2.028305
2016-09-30T01:41:07-07:00,14000,14218243,1.292513,1.007873
2016-09-30T01:41:08-07:00,15000,15232383,1.268506,1.006428
2016-09-30T01:41:09-07:00,16000,16235170,1.248808,1.010461
2016-09-30T01:41:10-07:00,17000,17246258,1.231827,1.011068
2016-09-30T01:41:11-07:00,18000,18250833,1.216680,1.004610
2016-09-30T01:41:12-07:00,19000,19253675,1.203308,1.002737
2016-09-30T01:41:13-07:00,21000,21274111,1.251373,2.020448
2016-09-30T01:41:14-07:00,22000,22292285,1.238423,1.018249
2016-09-30T01:41:15-07:00,23000,23315047,1.227073,1.022761
2016-09-30T01:41:16-07:00,24000,24329327,1.216435,1.014304
2016-09-30T01:41:17-07:00,26000,26366625,1.255522,2.037281
2016-09-30T01:41:18-07:00,27000,27378185,1.244433,1.011561
2016-09-30T01:41:19-07:00,28000,28392653,1.234435,1.014475
2016-09-30T01:41:20-07:00,29000,29408390,1.225322,1.015710
2016-09-30T01:41:21-07:00,30000,30419006,1.216735,1.010647
2016-09-30T01:41:22-07:00,31000,31415095,1.208250,0.996105
2016-09-30T01:41:23-07:00,32000,32420164,1.200718,1.004924
2016-09-30T01:41:24-07:00,34000,34441547,1.230031,2.021542
2016-09-30T01:41:25-07:00,35000,35456989,1.222631,1.015448
2016-09-30T01:41:26-07:00,36000,36464235,1.215455,1.007317
2016-09-30T01:41:27-07:00,37000,37474099,1.208820,1.009790
2016-09-30T01:41:28-07:00,38000,38484053,1.202606,1.009961
2016-09-30T01:41:29-07:00,40000,40513989,1.227677,2.029999
2016-09-30T01:41:30-07:00,41000,41528758,1.221417,1.014821
2016-09-30T01:41:31-07:00,42000,42541195,1.215446,1.012421
2016-09-30T01:41:32-07:00,43000,43551358,1.209742,1.010116
2016-09-30T01:41:33-07:00,44000,44556048,1.204200,1.004684
2016-09-30T01:41:34-07:00,45000,45580518,1.199470,1.024460
2016-09-30T01:41:35-07:00,47000,47614354,1.220866,2.033950
2016-09-30T01:41:36-07:00,47000,47614354,1.190344,0.000000
2016-09-30T01:41:37-07:00,49000,49638872,1.210688,2.024462
2016-09-30T01:41:38-07:00,50000,50651542,1.205973,1.012652
2016-09-30T01:41:39-07:00,51000,51669660,1.201605,1.018121
2016-09-30T01:41:40-07:00,52000,52685121,1.197374,1.015438
2016-09-30T01:41:41-07:00,53000,53700273,1.193326,1.015205
2016-09-30T01:41:42-07:00,54000,54709392,1.189321,1.009092
2016-09-30T01:41:43-07:00,55000,55719182,1.185501,1.009790
2016-09-30T01:41:44-07:00,57000,57747920,1.203069,2.028825
2016-09-30T01:41:45-07:00,58000,58760715,1.199186,1.012801
2016-09-30T01:41:46-07:00,59000,59777079,1.195529,1.016351
2016-09-30T01:41:47-07:00,60000,60793761,1.192022,1.016666
2016-09-30T01:41:48-07:00,61000,61804283,1.188533,1.010559
2016-09-30T01:41:49-07:00,62000,62814011,1.185159,1.009716
2016-09-30T01:41:50-07:00,64000,64844964,1.200822,2.030957
2016-09-30T01:41:51-07:00,65000,65862725,1.197493,1.017747
2016-09-30T01:41:52-07:00,66000,66878157,1.194242,1.015415
2016-09-30T01:41:53-07:00,67000,67895078,1.191131,1.016928
2016-09-30T01:41:54-07:00,68000,68912934,1.188144,1.017879
2016-09-30T01:41:55-07:00,69000,69927455,1.185200,1.014489
2016-09-30T01:41:56-07:00,71000,71956158,1.199259,2.028760
2016-09-30T01:41:57-07:00,72000,72977387,1.196340,1.021196
2016-09-30T01:41:58-07:00,73000,73992577,1.193418,1.015181
2016-09-30T01:41:59-07:00,74000,75004498,1.190536,1.011849
2016-09-30T01:42:00-07:00,75000,76026230,1.187901,1.021858
2016-09-30T01:42:01-07:00,76000,77042873,1.185266,1.016633
2016-09-30T01:42:02-07:00,77000,78058048,1.182688,1.015144
2016-09-30T01:42:03-07:00,78000,79085763,1.180375,1.027705
2016-09-30T01:42:04-07:00,79000,80101009,1.177947,1.015256
2016-09-30T01:42:05-07:00,80000,81112532,1.175535,1.011535
2016-09-30T01:42:06-07:00,82000,83136139,1.187651,2.023635
2016-09-30T01:42:07-07:00,83000,84141813,1.185087,1.005660
2016-09-30T01:42:08-07:00,84000,85132472,1.182387,0.990650
2016-09-30T01:42:09-07:00,85000,86141127,1.180007,1.008653
2016-09-30T01:42:10-07:00,86000,87153452,1.177740,1.012301
2016-09-30T01:42:11-07:00,87000,88166388,1.175544,1.012977
2016-09-30T01:42:12-07:00,89000,90200650,1.186843,2.034253
2016-09-30T01:42:13-07:00,90000,91221484,1.184686,1.020826
2016-09-30T01:42:14-07:00,91000,92231694,1.182450,1.010210
2016-09-30T01:42:15-07:00,92000,93244370,1.180300,1.012664
2016-09-30T01:42:16-07:00,94000,95273396,1.190910,2.029113
2016-09-30T01:42:17-07:00,95000,96284793,1.188688,1.011013
2016-09-30T01:42:18-07:00,95000,96284793,1.174197,0.000000
2016-09-30T01:42:19-07:00,97000,98315389,1.184516,2.030630
2016-09-30T01:42:20-07:00,98000,99322856,1.182408,1.007451
2016-09-30T01:42:21-07:00,99000,100336745,1.180425,1.013895
2016-09-30T01:42:22-07:00,100000,101346278,1.178438,1.009503
2016-09-30T01:42:23-07:00,101000,102366360,1.176618,1.020109
2016-09-30T01:42:24-07:00,102000,103378240,1.174746,1.011869
2016-09-30T01:42:25-07:00,103000,104394077,1.172959,1.015755
2016-09-30T01:42:26-07:00,105000,106424061,1.182483,2.030179
2016-09-30T01:42:27-07:00,106000,107431614,1.180560,1.007525
2016-09-30T01:42:28-07:00,107000,108447125,1.178766,1.015488
2016-09-30T01:42:29-07:00,108000,109461982,1.177004,1.014863
2016-09-30T01:42:30-07:00,109000,110476903,1.175280,1.014934
2016-09-30T01:42:31-07:00,111000,112503297,1.184228,2.024690
2016-09-30T01:42:32-07:00,112000,113522786,1.182522,1.020345
2016-09-30T01:42:33-07:00,113000,114537491,1.180792,1.014681
