date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-10-16T02:12:43-07:00,0,0,0.000000,0.000000
2016-10-16T02:12:44-07:00,0,0,0.000000,0.000000
2016-10-16T02:12:45-07:00,1000,1022787,0.511337,1.022798
2016-10-16T02:12:46-07:00,2000,2041607,0.680476,1.018776
2016-10-16T02:12:47-07:00,3000,3048832,0.762152,1.007193
2016-10-16T02:12:48-07:00,4000,4065978,0.813150,1.017161
2016-10-16T02:12:49-07:00,5000,5080124,0.845913,1.008892
2016-10-16T02:12:50-07:00,6000,6100702,0.871490,1.025886
2016-10-16T02:12:51-07:00,6000,6100702,0.762563,0.000000
2016-10-16T02:12:52-07:00,7000,7120523,0.791142,1.019766
2016-10-16T02:12:53-07:00,8000,8131173,0.813092,1.010659
2016-10-16T02:12:54-07:00,9000,9149804,0.831766,1.018478
2016-10-16T02:12:55-07:00,10000,10167406,0.847265,1.017790
2016-10-16T02:12:56-07:00,11000,11182239,0.860154,1.014823
2016-10-16T02:12:57-07:00,12000,12199594,0.871383,1.017375
2016-10-16T02:12:58-07:00,13000,13210416,0.880676,1.010777
2016-10-16T02:12:59-07:00,14000,14218243,0.888623,1.007817
2016-10-16T02:13:00-07:00,15000,15232383,0.896008,1.014188
2016-10-16T02:13:01-07:00,15000,15232383,0.846228,0.000000
2016-10-16T02:13:02-07:00,16000,16235170,0.854470,1.002844
2016-10-16T02:13:03-07:00,17000,17246258,0.862300,1.011071
2016-10-16T02:13:04-07:00,18000,18250833,0.868719,0.996016
2016-10-16T02:13:05-07:00,18000,18250833,0.829572,0.000000
2016-10-16T02:13:06-07:00,19000,19253675,0.837105,1.002856
2016-10-16T02:13:07-07:00,20000,20262967,0.844279,1.009278
2016-10-16T02:13:08-07:00,21000,21274111,0.850954,1.011160
2016-10-16T02:13:09-07:00,22000,22292285,0.857386,1.018195
2016-10-16T02:13:10-07:00,22000,22292285,0.825631,0.000000
2016-10-16T02:13:11-07:00,23000,23315047,0.832671,1.022760
2016-10-16T02:13:12-07:00,24000,24329327,0.838934,1.014310
2016-10-16T02:13:13-07:00,24000,24329327,0.810971,0.000000
2016-10-16T02:13:14-07:00,25000,25346473,0.817621,1.017126
2016-10-16T02:13:15-07:00,26000,26366625,0.823950,1.020145
2016-10-16T02:13:16-07:00,26000,26366625,0.798982,0.000000
2016-10-16T02:13:17-07:00,27000,27378185,0.805233,1.011527
