date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2016-11-11T00:05:53-08:00,0,0,0.000000,0.000000
2016-11-11T00:05:54-08:00,2000,2041607,2.040640,2.040640
2016-11-11T00:05:55-08:00,5000,5080124,2.539730,3.039162
2016-11-11T00:05:56-08:00,7000,7120523,2.373286,2.040360
2016-11-11T00:05:57-08:00,12000,12199594,3.049638,5.078760
2016-11-11T00:05:58-08:00,16000,16235170,3.246873,4.035955
2016-11-11T00:05:59-08:00,20000,20262967,3.374999,4.013363
2016-11-11T00:06:00-08:00,23000,23315047,3.330579,3.062939
2016-11-11T00:06:01-08:00,26000,26366625,3.295696,3.051513
2016-11-11T00:06:02-08:00,29000,29408390,3.267469,3.041652
2016-11-11T00:06:03-08:00,33000,33430060,3.342903,4.021867
2016-11-11T00:06:04-08:00,34000,34441547,3.130967,1.011504
2016-11-11T00:06:05-08:00,38000,38484053,3.206908,4.042227
2016-11-11T00:06:06-08:00,42000,42541195,3.272314,4.057224
2016-11-11T00:06:07-08:00,45000,45580518,3.253949,3.016962
2016-11-11T00:06:08-08:00,48000,48626994,3.241734,3.069334
2016-11-11T00:06:09-08:00,52000,52685121,3.292753,4.058039
2016-11-11T00:06:10-08:00,56000,56731191,3.337066,4.046090
2016-11-11T00:06:11-08:00,58000,58760715,3.264433,2.029601
2016-11-11T00:06:12-08:00,61000,61805178,3.252853,3.044415
2016-11-11T00:06:13-08:00,65000,65863620,3.293132,4.058459
2016-11-11T00:06:14-08:00,69000,69928350,3.329870,4.064601
2016-11-11T00:06:15-08:00,72000,72978282,3.316060,3.028138
2016-11-11T00:06:16-08:00,75000,76027125,3.305482,3.070977
2016-11-11T00:06:17-08:00,78000,79086658,3.295237,3.059592
2016-11-11T00:06:18-08:00,82000,83137034,3.325444,4.050441
2016-11-11T00:06:19-08:00,86000,87154347,3.352033,4.016652
2016-11-11T00:06:20-08:00,88000,89187464,3.303201,2.033387
2016-11-11T00:06:21-08:00,91000,92232589,3.293983,3.045105
2016-11-11T00:06:22-08:00,95000,96285688,3.320159,4.053086
2016-11-11T00:06:23-08:00,99000,100337640,3.344554,4.052009
2016-11-11T00:06:24-08:00,103000,104394972,3.367550,4.057470
2016-11-11T00:06:25-08:00,105000,106420623,3.325614,2.025616
2016-11-11T00:06:26-08:00,109000,110473465,3.347652,4.052876
2016-11-11T00:06:27-08:00,113000,114534053,3.368617,4.060463
2016-11-11T00:06:28-08:00,116000,117581986,3.359105,3.036844
2016-11-11T00:06:29-08:00,117000,118593736,3.294245,1.015497
2016-11-11T00:06:30-08:00,121000,122639868,3.314563,4.045996
2016-11-11T00:06:31-08:00,124000,125687659,3.307538,3.047604
2016-11-11T00:06:32-08:00,128000,129747985,3.326845,4.060564
2016-11-11T00:06:33-08:00,132000,133813612,3.345020,4.051385
2016-11-11T00:06:34-08:00,132000,133813612,3.263719,0.000000
2016-11-11T00:06:35-08:00,132000,133813612,3.186009,0.000000
2016-11-11T00:06:36-08:00,132000,133813612,3.111923,0.000000
2016-11-11T00:06:37-08:00,136000,137873677,3.133473,4.060194
2016-11-11T00:06:38-08:00,140000,141939660,3.154196,4.066014
2016-11-11T00:06:39-08:00,144000,145977322,3.173399,4.037518
2016-11-11T00:06:40-08:00,148000,150037534,3.192261,4.059841
2016-11-11T00:06:41-08:00,152000,154099328,3.210378,4.061892
2016-11-11T00:06:42-08:00,157000,159172211,3.248386,5.072717
