date,docs_indexed,plaintext_bytes_indexed,avg_mb_per_second,mb_per_second
2017-04-08T02:34:53-07:00,0,0,0.000000,0.000000
2017-04-08T02:34:54-07:00,2000,2041607,2.034066,2.034066
2017-04-08T02:34:55-07:00,6000,6100702,3.044712,4.059108
2017-04-08T02:34:56-07:00,11000,11179327,3.721773,5.078323
2017-04-08T02:34:57-07:00,15000,15229471,3.803737,4.049925
2017-04-08T02:34:58-07:00,19000,19250763,3.847314,4.021812
2017-04-08T02:34:59-07:00,22000,22289373,3.712556,3.038327
2017-04-08T02:35:00-07:00,26000,26363713,3.764237,4.074535
2017-04-08T02:35:01-07:00,29000,29405478,3.673938,3.041556
2017-04-08T02:35:02-07:00,33000,33427148,3.712573,4.021811
2017-04-08T02:35:03-07:00,37000,37471187,3.745708,4.044040
2017-04-08T02:35:04-07:00,41000,41525846,3.773779,4.054597
2017-04-08T02:35:05-07:00,44000,44553136,3.711582,3.027201
2017-04-08T02:35:06-07:00,48000,48624082,3.739225,4.071049
2017-04-08T02:35:07-07:00,52000,52682209,3.761976,4.057800
2017-04-08T02:35:08-07:00,55000,55716270,3.713491,3.034438
2017-04-08T02:35:09-07:00,60000,60790849,3.798524,5.074253
2017-04-08T02:35:10-07:00,64000,64842947,3.813444,4.052223
2017-04-08T02:35:12-07:00,69000,69925438,3.756129,3.151779
2017-04-08T02:35:12-07:00,71000,71954141,3.786305,5.236262
2017-04-08T02:35:13-07:00,75000,76027125,3.800639,4.073033
2017-04-08T02:35:14-07:00,79000,80101904,3.813684,4.074624
2017-04-08T02:35:15-07:00,83000,84142708,3.824007,4.040839
2017-04-08T02:35:16-07:00,87000,88167283,3.832738,4.024876
2017-04-08T02:35:17-07:00,91000,92232589,3.842423,4.065208
2017-04-08T02:35:18-07:00,94000,95274291,3.810399,3.041704
2017-04-08T02:35:19-07:00,98000,99323751,3.819579,4.049074
2017-04-08T02:35:20-07:00,102000,103379135,3.828320,4.055627
2017-04-08T02:35:21-07:00,106000,107432509,3.836358,4.053431
2017-04-08T02:35:22-07:00,110000,111497124,3.844222,4.064435
2017-04-08T02:35:23-07:00,114000,115554761,3.851344,4.057912
2017-04-08T02:35:24-07:00,119000,120621436,3.890543,5.066678
2017-04-08T02:35:25-07:00,123000,124681470,3.895831,4.059761
2017-04-08T02:35:26-07:00,127000,128733619,3.900568,4.052153
2017-04-08T02:35:27-07:00,131000,132805297,3.905605,4.071852
2017-04-08T02:35:30-07:00,143000,144965676,3.932229,4.248529
2017-04-08T02:35:30-07:00,143000,144965676,3.917596,0.000000
2017-04-08T02:35:31-07:00,148000,150045130,3.948163,5.079201
2017-04-08T02:35:32-07:00,152000,154106924,3.951073,4.061641
2017-04-08T02:35:33-07:00,156000,158165242,3.953760,4.058584
2017-04-08T02:35:37-07:00,172000,174417615,3.981430,4.272409
2017-04-08T02:35:37-07:00,173000,175426418,3.986624,5.147839
2017-04-08T02:35:38-07:00,177000,179470811,3.987908,4.044401
2017-04-08T02:35:39-07:00,181000,183536643,3.989596,4.065562
2017-04-08T02:35:40-07:00,185000,187603988,3.991255,4.067593
2017-04-08T02:35:41-07:00,190000,192696744,4.014195,5.092377
2017-04-08T02:35:42-07:00,194000,196757231,4.015137,4.060334
2017-04-08T02:35:43-07:00,198000,200819774,4.016094,4.062993
2017-04-08T02:35:44-07:00,200000,202846298,4.019217,4.354837
2017-04-08T02:35:44-07:00,200000,202846298,3.977081,0.000000
2017-04-08T02:35:45-07:00,200000,202846298,3.900602,0.000000
2017-04-08T02:35:46-07:00,200000,202846298,3.827014,0.000000
2017-04-08T02:35:47-07:00,200000,202846298,3.756144,0.000000
2017-04-08T02:35:48-07:00,200000,202846298,3.687862,0.000000
2017-04-08T02:35:49-07:00,200000,202846298,3.622008,0.000000
2017-04-08T02:35:51-07:00,200000,202846298,3.511335,0.000000
2017-04-08T02:35:51-07:00,200000,202846298,3.497118,0.000000
2017-04-08T02:35:52-07:00,200000,202846298,3.437848,0.000000
2017-04-08T02:35:53-07:00,200000,202846298,3.380560,0.000000
2017-04-08T02:35:54-07:00,200000,202846298,3.325139,0.000000
2017-04-08T02:35:55-07:00,200000,202846298,3.271514,0.000000
2017-04-08T02:35:57-07:00,200000,202846298,3.204245,0.000000
2017-04-08T02:35:57-07:00,200000,202846298,3.169284,0.000000
2017-04-08T02:35:58-07:00,200000,202846298,3.120532,0.000000
2017-04-08T02:35:59-07:00,200000,202846298,3.073249,0.000000
2017-04-08T02:36:00-07:00,200000,202846298,3.027383,0.000000
2017-04-08T02:36:02-07:00,200000,202846298,2.966479,0.000000
2017-04-08T02:36:02-07:00,200000,202846298,2.939637,0.000000
2017-04-08T02:36:03-07:00,200000,202846298,2.897649,0.000000
2017-04-08T02:36:04-07:00,200000,202846298,2.856835,0.000000
2017-04-08T02:36:05-07:00,200000,202846298,2.817160,0.000000
2017-04-08T02:36:07-07:00,200000,202846298,2.748407,0.000000
2017-04-08T02:36:07-07:00,200000,202846298,2.741023,0.000000
2017-04-08T02:36:08-07:00,200000,202846298,2.704482,0.000000
2017-04-08T02:36:09-07:00,200000,202846298,2.668896,0.000000
