date,queries_finished,avg_queries_per_second,queries_per_second
2016-08-11T13:24:53-07:00,0,0.000000,0.000000
2016-08-11T13:24:58-07:00,515,102.994768,102.994774
2016-08-11T13:25:03-07:00,1003,100.297584,97.600256
2016-08-11T13:25:08-07:00,1543,102.864793,107.999302
2016-08-11T13:25:13-07:00,2121,106.048456,115.599583
2016-08-11T13:25:18-07:00,2618,104.718896,99.400548
2016-08-11T13:25:23-07:00,3163,105.432232,108.998916
2016-08-11T13:25:28-07:00,3740,106.856236,115.400381
2016-08-11T13:25:33-07:00,4240,105.999279,100.000496
2016-08-11T13:25:38-07:00,4781,106.243939,108.201255
2016-08-11T13:25:43-07:00,5360,107.199439,115.798897
2016-08-11T13:25:48-07:00,5807,105.581335,89.400176
2016-08-11T13:25:53-07:00,6456,107.599645,129.801402
2016-08-11T13:25:53-07:00,6457,107.610112,289.291834
