date,queries_finished,avg_queries_per_second,queries_per_second
2016-08-29T03:37:22-07:00,0,0.000000,0.000000
2016-08-29T03:37:27-07:00,151,30.198604,30.198606
2016-08-29T03:37:32-07:00,299,29.899349,29.600078
2016-08-29T03:37:37-07:00,452,30.132967,30.600219
2016-08-29T03:37:42-07:00,642,32.099638,37.999672
2016-08-29T03:37:47-07:00,791,31.639723,29.800036
2016-08-29T03:37:52-07:00,943,31.433099,30.399974
2016-08-29T03:37:57-07:00,1099,31.399807,31.200051
2016-08-29T03:38:02-07:00,1255,31.374824,31.199942
2016-08-29T03:38:07-07:00,1408,31.288739,30.600051
2016-08-29T03:38:12-07:00,1563,31.259856,30.999909
2016-08-29T03:38:17-07:00,1718,31.236240,31.000078
2016-08-29T03:38:22-07:00,1873,31.216585,31.000378
2016-08-29T03:38:22-07:00,1874,31.221730,45.164946
