date,queries_finished,avg_queries_per_second,queries_per_second
2016-08-30T02:56:17-07:00,0,0.000000,0.000000
2016-08-30T02:56:22-07:00,470,93.993042,93.993046
2016-08-30T02:56:27-07:00,976,97.595917,101.199024
2016-08-30T02:56:32-07:00,1497,99.797696,104.201502
2016-08-30T02:56:37-07:00,2049,102.448279,110.400227
2016-08-30T02:56:42-07:00,2557,102.278537,101.599561
2016-08-30T02:56:47-07:00,3078,102.598798,104.200130
2016-08-30T02:56:52-07:00,3631,103.741732,110.599374
2016-08-30T02:56:57-07:00,4141,103.524125,102.000848
2016-08-30T02:57:02-07:00,4657,103.488088,103.199790
2016-08-30T02:57:07-07:00,5208,104.159305,110.200318
2016-08-30T02:57:12-07:00,5716,103.926582,101.599356
2016-08-30T02:57:17-07:00,6241,104.016198,105.001994
2016-08-30T02:57:17-07:00,6242,104.032559,5675.079025
