date,queries_finished,avg_queries_per_second,queries_per_second
2016-08-31T03:34:28-07:00,0,0.000000,0.000000
2016-08-31T03:34:33-07:00,12227,2445.287663,2445.287796
2016-08-31T03:34:38-07:00,25844,2584.347367,2723.414184
2016-08-31T03:34:43-07:00,39256,2617.025803,2682.383604
2016-08-31T03:34:48-07:00,52457,2622.820087,2640.203234
2016-08-31T03:34:53-07:00,65818,2632.697814,2672.209311
2016-08-31T03:34:58-07:00,79382,2646.047270,2712.794991
2016-08-31T03:35:03-07:00,92895,2654.129149,2702.621157
2016-08-31T03:35:08-07:00,106353,2658.809561,2691.572276
2016-08-31T03:35:13-07:00,119876,2663.897932,2704.605217
2016-08-31T03:35:18-07:00,133348,2666.948650,2694.405296
2016-08-31T03:35:23-07:00,147236,2677.007885,2777.600695
2016-08-31T03:35:28-07:00,160792,2679.859436,2711.226921
2016-08-31T03:35:28-07:00,160793,2679.823752,853.175348
