date,queries_finished,avg_queries_per_second,queries_per_second
2016-09-09T03:23:18-07:00,0,0.000000,0.000000
2016-09-09T03:23:23-07:00,28,5.599632,5.599632
2016-09-09T03:23:28-07:00,57,5.699808,5.799991
2016-09-09T03:23:33-07:00,87,5.799869,5.999998
2016-09-09T03:23:38-07:00,115,5.749912,5.600038
2016-09-09T03:23:43-07:00,145,5.799928,5.999994
2016-09-09T03:23:48-07:00,175,5.833275,6.000014
2016-09-09T03:23:53-07:00,205,5.857087,5.999955
2016-09-09T03:23:58-07:00,234,5.849955,5.800031
2016-09-09T03:24:03-07:00,263,5.844405,5.800006
2016-09-09T03:24:08-07:00,292,5.839965,5.800000
2016-09-09T03:24:13-07:00,322,5.854513,5.999994
2016-09-09T03:24:18-07:00,352,5.866637,6.000003
2016-09-09T03:24:18-07:00,353,5.857093,3.724364
