date,queries_finished,avg_queries_per_second,queries_per_second
2016-10-03T04:01:03-07:00,0,0.000000,0.000000
2016-10-03T04:01:08-07:00,76,15.199267,15.199268
2016-10-03T04:01:13-07:00,152,15.199555,15.199842
2016-10-03T04:01:18-07:00,227,15.133036,14.999995
2016-10-03T04:01:23-07:00,303,15.149780,15.200011
2016-10-03T04:01:28-07:00,380,15.199781,15.399788
2016-10-03T04:01:33-07:00,457,15.233181,15.400183
2016-10-03T04:01:38-07:00,533,15.228416,15.199827
2016-10-03T04:01:43-07:00,610,15.249895,15.400251
2016-10-03T04:01:48-07:00,688,15.288773,15.599799
2016-10-03T04:01:53-07:00,765,15.299891,15.399952
2016-10-03T04:01:58-07:00,842,15.309007,15.400170
2016-10-03T04:02:03-07:00,919,15.316595,15.400058
2016-10-03T04:02:03-07:00,920,15.326923,40.302074
