date,queries_finished,avg_queries_per_second,queries_per_second
2016-10-04T02:50:11-07:00,0,0.000000,0.000000
2016-10-04T02:50:16-07:00,341,68.194041,68.194046
2016-10-04T02:50:21-07:00,660,65.997746,63.801217
2016-10-04T02:50:26-07:00,976,65.065091,63.199726
2016-10-04T02:50:31-07:00,1336,66.798864,72.000333
2016-10-04T02:50:36-07:00,1680,67.199028,68.799702
2016-10-04T02:50:41-07:00,1996,66.532638,63.200611
2016-10-04T02:50:46-07:00,2330,66.571001,66.801185
2016-10-04T02:50:51-07:00,2707,67.674561,75.399474
2016-10-04T02:50:56-07:00,3025,67.221823,63.599900
2016-10-04T02:51:01-07:00,3340,66.799639,62.999963
2016-10-04T02:51:06-07:00,3685,66.999691,69.000228
2016-10-04T02:51:11-07:00,4058,67.633128,74.601065
2016-10-04T02:51:11-07:00,4059,67.645528,264.279204
