date,queries_finished,avg_queries_per_second,queries_per_second
2016-10-18T03:05:40-07:00,0,0.000000,0.000000
2016-10-18T03:05:45-07:00,33447,6688.943046,6688.943304
2016-10-18T03:05:50-07:00,66861,6685.888889,6682.834507
2016-10-18T03:05:55-07:00,100324,6688.128595,6692.608153
2016-10-18T03:06:00-07:00,133806,6690.194494,6696.392314
2016-10-18T03:06:05-07:00,167208,6688.233795,6680.390885
2016-10-18T03:06:10-07:00,200670,6688.923062,6692.369427
2016-10-18T03:06:15-07:00,234067,6687.561536,6679.392293
2016-10-18T03:06:20-07:00,267584,6689.541650,6703.402593
2016-10-18T03:06:25-07:00,301074,6690.486216,6698.042857
2016-10-18T03:06:30-07:00,334575,6691.461972,6700.243901
2016-10-18T03:06:35-07:00,368073,6692.194214,6699.516583
2016-10-18T03:06:40-07:00,401571,6692.844691,6700.000408
