date,queries_finished,avg_queries_per_second,queries_per_second
2016-11-10T04:17:22-08:00,0,0.000000,0.000000
2016-11-10T04:17:27-08:00,26813,5362.281173,5362.281473
2016-11-10T04:17:32-08:00,53677,5367.519373,5372.757843
2016-11-10T04:17:37-08:00,80564,5370.817914,5377.415237
2016-11-10T04:17:42-08:00,107405,5370.158143,5368.178797
2016-11-10T04:17:47-08:00,134291,5371.565695,5377.195993
2016-11-10T04:17:52-08:00,161177,5372.521387,5377.300002
2016-11-10T04:17:57-08:00,188053,5372.892304,5375.117794
2016-11-10T04:18:02-08:00,214930,5373.207631,5375.414945
2016-11-10T04:18:07-08:00,241819,5373.718304,5377.803726
2016-11-10T04:18:12-08:00,268730,5374.567489,5382.210217
2016-11-10T04:18:17-08:00,295612,5374.733022,5376.388356
2016-11-10T04:18:22-08:00,322501,5375.004242,5377.987788
