date,queries_finished,avg_queries_per_second,queries_per_second
2016-11-14T04:09:02-08:00,0,0.000000,0.000000
2016-11-14T04:09:07-08:00,36854,7370.382743,7370.382984
2016-11-14T04:09:12-08:00,72974,7297.197433,7224.007899
2016-11-14T04:09:17-08:00,108976,7264.918507,7200.359229
2016-11-14T04:09:22-08:00,145094,7254.591723,7223.610692
2016-11-14T04:09:27-08:00,181160,7246.319357,7213.229264
2016-11-14T04:09:32-08:00,217249,7241.567754,7217.809447
2016-11-14T04:09:37-08:00,253348,7238.452464,7219.760654
2016-11-14T04:09:42-08:00,289438,7235.901414,7218.043806
2016-11-14T04:09:47-08:00,325522,7233.778218,7216.792548
2016-11-14T04:09:52-08:00,361629,7232.536339,7221.359428
2016-11-14T04:09:57-08:00,397723,7231.292638,7218.855457
2016-11-14T04:10:02-08:00,433801,7229.994519,7215.714910
2016-11-14T04:10:02-08:00,433801,7229.987927,7215.635960
