date,queries_finished,avg_queries_per_second,queries_per_second
2016-12-02T03:33:58-08:00,0,0.000000,0.000000
2016-12-02T03:34:03-08:00,3931,786.148936,786.148971
2016-12-02T03:34:08-08:00,7865,786.473197,786.797478
2016-12-02T03:34:13-08:00,11789,785.914696,784.797660
2016-12-02T03:34:18-08:00,15727,786.336617,787.602415
2016-12-02T03:34:23-08:00,19656,786.228894,785.797994
2016-12-02T03:34:28-08:00,23604,786.790866,789.600767
2016-12-02T03:34:33-08:00,27609,788.820864,801.001014
2016-12-02T03:34:38-08:00,31560,788.993070,790.198520
2016-12-02T03:34:43-08:00,35504,788.971876,788.802323
2016-12-02T03:34:48-08:00,39452,789.034634,789.599459
2016-12-02T03:34:53-08:00,43414,789.340529,792.399491
2016-12-02T03:34:58-08:00,47343,789.046297,785.809692
2016-12-02T03:34:58-08:00,47344,789.052000,1199.519712
