date,queries_finished,avg_queries_per_second,queries_per_second
2017-01-27T04:11:41-08:00,0,0.000000,0.000000
2017-01-27T04:11:46-08:00,527,105.391127,105.391131
2017-01-27T04:11:51-08:00,1115,111.494537,117.598376
2017-01-27T04:11:56-08:00,1748,116.528394,126.596309
2017-01-27T04:12:01-08:00,2326,116.297879,115.606267
2017-01-27T04:12:06-08:00,2885,115.398319,111.800013
2017-01-27T04:12:11-08:00,3484,116.131390,119.796695
2017-01-27T04:12:16-08:00,4250,121.426438,153.196542
2017-01-27T04:12:21-08:00,4826,120.648965,115.206262
2017-01-27T04:12:26-08:00,5435,120.776865,121.800074
2017-01-27T04:12:31-08:00,6065,121.299149,125.999733
2017-01-27T04:12:36-08:00,6706,121.926528,128.200381
2017-01-27T04:12:41-08:00,7275,121.249487,113.801872
2017-01-27T04:12:41-08:00,7276,121.231213,57.826575
