date,queries_finished,avg_queries_per_second,queries_per_second
2017-02-11T00:33:18-08:00,0,0.000000,0.000000
2017-02-11T00:33:23-08:00,16,3.199815,3.199816
2017-02-11T00:33:28-08:00,31,3.099915,3.000009
2017-02-11T00:33:33-08:00,46,3.066602,2.999974
2017-02-11T00:33:38-08:00,62,3.099957,3.200024
2017-02-11T00:33:43-08:00,78,3.119933,3.199833
2017-02-11T00:33:48-08:00,94,3.133295,3.200112
2017-02-11T00:33:53-08:00,111,3.171404,3.400064
2017-02-11T00:33:58-08:00,126,3.149978,2.999994
2017-02-11T00:34:03-08:00,142,3.155532,3.199966
2017-02-11T00:34:08-08:00,157,3.139980,3.000010
2017-02-11T00:34:13-08:00,175,3.181801,3.600017
2017-02-11T00:34:18-08:00,191,3.183321,3.200041
2017-02-11T00:34:18-08:00,192,3.195153,11.013565
