date,queries_finished,avg_queries_per_second,queries_per_second
2017-02-12T04:04:46-08:00,0,0.000000,0.000000
2017-02-12T04:04:51-08:00,8331,1666.088878,1666.088953
2017-02-12T04:04:56-08:00,16969,1696.832671,1727.578124
2017-02-12T04:05:01-08:00,25711,1714.025307,1748.412184
2017-02-12T04:05:06-08:00,34274,1713.670525,1712.606147
2017-02-12T04:05:11-08:00,42870,1714.775642,1719.196180
2017-02-12T04:05:16-08:00,51495,1716.480016,1725.002015
2017-02-12T04:05:21-08:00,60081,1716.575528,1717.148589
2017-02-12T04:05:26-08:00,68722,1718.032183,1728.229090
2017-02-12T04:05:31-08:00,77550,1723.319715,1765.620904
2017-02-12T04:05:36-08:00,86146,1722.903425,1719.156887
2017-02-12T04:05:41-08:00,94851,1724.552218,1741.040683
2017-02-12T04:05:46-08:00,103546,1725.757877,1739.020375
2017-02-12T04:05:46-08:00,103547,1725.771591,1739.184670
