date,queries_finished,avg_queries_per_second,queries_per_second
2017-03-06T03:03:14-08:00,0,0.000000,0.000000
2017-03-06T03:03:19-08:00,1851,370.178569,370.178600
2017-03-06T03:03:24-08:00,3690,368.988063,367.797496
2017-03-06T03:03:29-08:00,5527,368.458797,367.400231
2017-03-06T03:03:34-08:00,7192,359.593728,332.998104
2017-03-06T03:03:39-08:00,9005,360.195206,362.601168
2017-03-06T03:03:44-08:00,10870,362.329246,372.999576
2017-03-06T03:03:49-08:00,12740,363.996809,374.002361
2017-03-06T03:03:54-08:00,14644,366.096915,380.797698
2017-03-06T03:03:59-08:00,16527,367.263946,376.600279
2017-03-06T03:04:04-08:00,18637,372.737582,422.000757
2017-03-06T03:04:09-08:00,20528,373.234273,378.201233
2017-03-06T03:04:14-08:00,22417,373.615258,377.806185
2017-03-06T03:04:14-08:00,22417,373.615013,377.803210
