date,queries_finished,avg_queries_per_second,queries_per_second
2017-04-06T02:21:15-07:00,0,0.000000,0.000000
2017-04-06T02:21:20-07:00,30,5.999596,5.999597
2017-04-06T02:21:25-07:00,61,6.099812,6.200035
2017-04-06T02:21:30-07:00,91,6.066548,6.000018
2017-04-06T02:21:35-07:00,121,6.049902,5.999964
2017-04-06T02:21:40-07:00,151,6.039861,5.999696
2017-04-06T02:21:45-07:00,182,6.066589,6.200238
2017-04-06T02:21:50-07:00,212,6.057091,6.000100
2017-04-06T02:21:55-07:00,243,6.074951,6.199970
2017-04-06T02:22:00-07:00,274,6.088848,6.200029
2017-04-06T02:22:05-07:00,305,6.099962,6.199985
2017-04-06T02:22:10-07:00,336,6.109053,6.199965
2017-04-06T02:22:15-07:00,367,6.116636,6.200049
2017-04-06T02:22:15-07:00,368,6.104306,3.508631
