date,queries_finished,avg_queries_per_second,queries_per_second
2017-04-23T02:24:33-07:00,0,0.000000,0.000000
2017-04-23T02:24:38-07:00,4184,836.750551,836.750596
2017-04-23T02:24:43-07:00,8380,837.960032,839.169542
2017-04-23T02:24:48-07:00,12585,838.964327,840.972947
2017-04-23T02:24:53-07:00,16768,838.386163,836.651490
2017-04-23T02:24:58-07:00,20968,838.709361,840.002177
2017-04-23T02:25:03-07:00,25170,838.985242,840.364605
2017-04-23T02:25:08-07:00,29375,839.275070,841.014103
2017-04-23T02:25:13-07:00,33573,839.316345,839.605272
2017-04-23T02:25:18-07:00,37769,839.301585,839.183505
2017-04-23T02:25:23-07:00,41963,839.250115,838.786888
2017-04-23T02:25:28-07:00,46163,839.316953,839.985337
2017-04-23T02:25:33-07:00,50362,839.362255,839.860619
2017-04-23T02:25:33-07:00,50363,839.364222,951.660409
