date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-06T19:20:26-07:00,0,0.000000,0.000000
2016-06-06T19:20:31-07:00,98,19.598763,19.598763
2016-06-06T19:20:36-07:00,198,19.799403,20.000056
2016-06-06T19:20:41-07:00,298,19.866267,20.000001
2016-06-06T19:20:46-07:00,397,19.849685,19.799937
2016-06-06T19:20:51-07:00,497,19.879767,20.000095
2016-06-06T19:20:56-07:00,597,19.899792,19.999921
2016-06-06T19:21:01-07:00,697,19.914109,20.000013
2016-06-06T19:21:06-07:00,797,19.924863,20.000137
2016-06-06T19:21:11-07:00,897,19.933201,19.999908
2016-06-06T19:21:16-07:00,997,19.939883,20.000018
2016-06-06T19:21:21-07:00,1096,19.927158,19.799908
2016-06-06T19:21:26-07:00,1197,19.949836,20.199292
2016-06-06T19:21:26-07:00,1198,19.950611,20.923501
