date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-06T20:00:52-07:00,0,0.000000,0.000000
2016-06-06T20:00:57-07:00,98,19.598794,19.598795
2016-06-06T20:01:02-07:00,198,19.799375,19.999969
2016-06-06T20:01:07-07:00,299,19.932898,20.199952
2016-06-06T20:01:12-07:00,398,19.899663,19.799955
2016-06-06T20:01:17-07:00,497,19.879771,19.800200
2016-06-06T20:01:22-07:00,598,19.933079,20.199618
2016-06-06T20:01:27-07:00,697,19.914111,19.800299
2016-06-06T20:01:32-07:00,797,19.924843,19.999969
2016-06-06T20:01:37-07:00,898,19.955427,20.200105
2016-06-06T20:01:42-07:00,997,19.939871,19.799867
2016-06-06T20:01:47-07:00,1097,19.945237,19.998888
2016-06-06T20:01:52-07:00,1198,19.966585,20.201431
2016-06-06T20:01:52-07:00,1199,19.972011,29.613624
