date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-07T03:02:28-07:00,0,0.000000,0.000000
2016-06-07T03:02:33-07:00,12,2.399879,2.399879
2016-06-07T03:02:38-07:00,26,2.599920,2.799969
2016-06-07T03:02:43-07:00,40,2.666447,2.799480
2016-06-07T03:02:48-07:00,55,2.749960,3.000566
2016-06-07T03:02:53-07:00,69,2.759965,2.799986
2016-06-07T03:02:58-07:00,83,2.766638,2.800002
2016-06-07T03:03:03-07:00,97,2.771404,2.800000
2016-06-07T03:03:08-07:00,112,2.799977,2.999996
2016-06-07T03:03:13-07:00,127,2.822202,3.000000
2016-06-07T03:03:18-07:00,142,2.839982,3.000004
2016-06-07T03:03:23-07:00,157,2.854529,2.999996
2016-06-07T03:03:28-07:00,171,2.849989,2.800053
2016-06-07T03:03:28-07:00,172,2.863491,15.081830
