date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-07T03:20:23-07:00,0,0.000000,0.000000
2016-06-07T03:20:28-07:00,67,13.399522,13.399523
2016-06-07T03:20:33-07:00,134,13.399706,13.399890
2016-06-07T03:20:38-07:00,201,13.399826,13.400067
2016-06-07T03:20:43-07:00,268,13.399867,13.399990
2016-06-07T03:20:48-07:00,336,13.439879,13.599929
2016-06-07T03:20:53-07:00,403,13.433238,13.400030
2016-06-07T03:20:58-07:00,471,13.457060,13.599997
2016-06-07T03:21:03-07:00,538,13.449924,13.399972
2016-06-07T03:21:08-07:00,607,13.488833,13.800110
2016-06-07T03:21:13-07:00,674,13.479941,13.399913
2016-06-07T03:21:18-07:00,743,13.509043,13.800056
2016-06-07T03:21:23-07:00,810,13.499969,13.400164
2016-06-07T03:21:23-07:00,811,13.508076,26.301544
