date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-07T03:08:29-07:00,0,0.000000,0.000000
2016-06-07T03:08:34-07:00,23,4.599667,4.599667
2016-06-07T03:08:39-07:00,47,4.699823,4.799985
2016-06-07T03:08:44-07:00,72,4.799887,5.000025
2016-06-07T03:08:49-07:00,96,4.799900,4.799936
2016-06-07T03:08:54-07:00,121,4.839926,5.000035
2016-06-07T03:08:59-07:00,145,4.833268,4.799979
2016-06-07T03:09:04-07:00,169,4.828518,4.800019
2016-06-07T03:09:09-07:00,193,4.824954,4.800007
2016-06-07T03:09:14-07:00,217,4.822181,4.799994
2016-06-07T03:09:19-07:00,242,4.839963,5.000004
2016-06-07T03:09:24-07:00,266,4.836331,4.800011
2016-06-07T03:09:29-07:00,291,4.849971,5.000005
2016-06-07T03:09:29-07:00,292,4.856356,7.872391
