date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-07T03:23:07-07:00,0,0.000000,0.000000
2016-06-07T03:23:12-07:00,25,4.999641,4.999641
2016-06-07T03:23:17-07:00,51,5.099810,5.199987
2016-06-07T03:23:22-07:00,77,5.133220,5.200042
2016-06-07T03:23:27-07:00,103,5.149916,5.200005
2016-06-07T03:23:32-07:00,129,5.159934,5.200007
2016-06-07T03:23:37-07:00,155,5.166610,5.199989
2016-06-07T03:23:42-07:00,181,5.171374,5.199958
2016-06-07T03:23:47-07:00,206,5.149957,5.000038
2016-06-07T03:23:52-07:00,232,5.155516,5.199988
2016-06-07T03:23:57-07:00,257,5.139966,5.000013
2016-06-07T03:24:02-07:00,284,5.163604,5.399979
2016-06-07T03:24:07-07:00,310,5.166644,5.200095
2016-06-07T03:24:07-07:00,311,5.159793,3.656681
