date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-08T10:47:47-07:00,0,0.000000,0.000000
2016-06-08T10:47:52-07:00,70,13.999548,13.999549
2016-06-08T10:47:57-07:00,141,14.099697,14.199848
2016-06-08T10:48:02-07:00,212,14.133122,14.199973
2016-06-08T10:48:07-07:00,283,14.149828,14.199947
2016-06-08T10:48:12-07:00,354,14.159869,14.200034
2016-06-08T10:48:17-07:00,424,14.133231,14.000037
2016-06-08T10:48:22-07:00,496,14.171333,14.399950
2016-06-08T10:48:27-07:00,566,14.149929,14.000094
2016-06-08T10:48:32-07:00,637,14.155496,14.200035
2016-06-08T10:48:37-07:00,707,14.139936,13.999901
2016-06-08T10:48:42-07:00,778,14.145394,14.199966
2016-06-08T10:48:47-07:00,850,14.166617,14.400076
2016-06-08T10:48:47-07:00,851,14.159905,10.094723
