date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-08T11:39:45-07:00,0,0.000000,0.000000
2016-06-08T11:39:50-07:00,58,11.599284,11.599285
2016-06-08T11:39:55-07:00,121,12.099621,12.599989
2016-06-08T11:40:00-07:00,184,12.266404,12.599979
2016-06-08T11:40:05-07:00,247,12.349813,12.600046
2016-06-08T11:40:10-07:00,306,12.239650,11.799026
2016-06-08T11:40:15-07:00,367,12.233187,12.200874
2016-06-08T11:40:20-07:00,430,12.285612,12.600167
2016-06-08T11:40:25-07:00,493,12.324898,12.599902
2016-06-08T11:40:30-07:00,554,12.311031,12.200095
2016-06-08T11:40:35-07:00,617,12.339919,12.599904
2016-06-08T11:40:40-07:00,680,12.363571,12.600096
2016-06-08T11:40:45-07:00,742,12.366614,12.400092
2016-06-08T11:40:45-07:00,743,12.364931,11.230682
