date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-06T20:27:06-07:00,0,0.000000,0.000000
2016-06-06T20:27:11-07:00,1849,369.782539,369.782545
2016-06-06T20:27:16-07:00,3678,367.789994,365.797370
2016-06-06T20:27:21-07:00,5505,366.993165,365.399466
2016-06-06T20:27:26-07:00,7215,360.743933,341.996100
2016-06-06T20:27:31-07:00,9032,361.275871,363.403684
2016-06-06T20:27:36-07:00,10830,360.996567,359.600028
2016-06-06T20:27:41-07:00,12605,360.139841,354.999444
2016-06-06T20:27:46-07:00,14354,358.847333,349.799709
2016-06-06T20:27:51-07:00,16174,359.419857,364.000089
2016-06-06T20:27:56-07:00,18028,360.557884,370.800194
2016-06-06T20:28:01-07:00,19878,361.416255,370.000019
2016-06-06T20:28:06-07:00,21703,361.715459,365.006774
2016-06-06T20:28:06-07:00,21704,361.720493,518.286173
