date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-06T20:43:14-07:00,0,0.000000,0.000000
2016-06-06T20:43:19-07:00,8380,1675.923660,1675.923746
2016-06-06T20:43:24-07:00,16863,1686.247892,1696.572427
2016-06-06T20:43:29-07:00,25376,1691.709789,1702.634138
2016-06-06T20:43:34-07:00,33883,1694.131082,1701.395043
2016-06-06T20:43:39-07:00,42440,1697.583641,1711.393981
2016-06-06T20:43:44-07:00,51014,1700.452437,1714.796529
2016-06-06T20:43:49-07:00,59551,1701.444606,1707.397658
2016-06-06T20:43:54-07:00,68108,1702.689517,1711.403982
2016-06-06T20:43:59-07:00,76667,1703.701707,1711.799272
2016-06-06T20:44:04-07:00,85211,1704.211640,1708.801066
2016-06-06T20:44:09-07:00,93767,1704.846942,1711.199992
2016-06-06T20:44:14-07:00,102311,1705.178222,1708.822363
2016-06-06T20:44:14-07:00,102312,1705.186852,3536.380515
