date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-06T20:53:48-07:00,0,0.000000,0.000000
2016-06-06T20:53:53-07:00,6520,1303.918286,1303.918352
2016-06-06T20:53:58-07:00,13127,1312.658675,1321.399609
2016-06-06T20:54:03-07:00,19715,1314.312029,1317.618890
2016-06-06T20:54:08-07:00,26222,1311.078994,1301.379880
2016-06-06T20:54:13-07:00,32820,1312.782969,1319.598971
2016-06-06T20:54:18-07:00,39451,1315.020085,1326.205859
2016-06-06T20:54:23-07:00,46058,1315.931503,1321.400072
2016-06-06T20:54:28-07:00,52651,1316.264356,1318.594336
2016-06-06T20:54:33-07:00,59186,1315.234806,1306.998347
2016-06-06T20:54:38-07:00,65748,1314.951617,1312.402896
2016-06-06T20:54:43-07:00,72396,1316.283268,1329.599858
2016-06-06T20:54:48-07:00,79043,1317.378558,1329.427059
2016-06-06T20:54:48-07:00,79043,1317.377856,1329.418558
