date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-07T03:47:22-07:00,0,0.000000,0.000000
2016-06-07T03:47:27-07:00,12380,2475.862908,2475.862989
2016-06-07T03:47:32-07:00,24769,2476.821294,2477.779725
2016-06-07T03:47:37-07:00,37178,2478.477524,2481.790077
2016-06-07T03:47:42-07:00,49611,2480.505639,2486.590097
2016-06-07T03:47:47-07:00,61981,2479.207641,2474.015522
2016-06-07T03:47:52-07:00,74339,2477.941689,2471.611815
2016-06-07T03:47:57-07:00,86696,2477.005389,2471.387561
2016-06-07T03:48:02-07:00,99065,2476.606077,2473.810853
2016-06-07T03:48:07-07:00,111402,2475.581685,2467.386535
2016-06-07T03:48:12-07:00,123722,2474.423281,2463.997579
2016-06-07T03:48:17-07:00,136007,2472.840125,2457.008397
2016-06-07T03:48:22-07:00,148299,2471.639006,2458.426479
2016-06-07T03:48:22-07:00,148300,2471.620516,1171.713432
