date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-07T04:05:55-07:00,0,0.000000,0.000000
2016-06-07T04:06:00-07:00,3210,641.960329,641.960355
2016-06-07T04:06:05-07:00,6434,643.379025,644.797803
2016-06-07T04:06:10-07:00,9654,643.585974,643.999887
2016-06-07T04:06:15-07:00,12880,643.990868,645.205586
2016-06-07T04:06:20-07:00,16109,644.347437,645.773674
2016-06-07T04:06:25-07:00,19333,644.426252,644.820349
2016-06-07T04:06:30-07:00,22551,644.308878,643.604616
2016-06-07T04:06:35-07:00,25772,644.295194,644.199407
2016-06-07T04:06:40-07:00,28998,644.395102,645.194368
2016-06-07T04:06:45-07:00,32212,644.236170,642.805753
2016-06-07T04:06:50-07:00,35437,644.305156,644.995013
2016-06-07T04:06:55-07:00,38659,644.313997,644.411260
2016-06-07T04:06:55-07:00,38660,644.312619,595.082949
