date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-07T03:35:50-07:00,0,0.000000,0.000000
2016-06-07T03:35:55-07:00,22159,4431.615384,4431.615553
2016-06-07T03:36:00-07:00,44317,4431.611249,4431.607113
2016-06-07T03:36:05-07:00,66574,4438.196437,4451.366981
2016-06-07T03:36:10-07:00,88783,4439.099822,4441.810027
2016-06-07T03:36:15-07:00,111021,4440.810973,4447.655740
2016-06-07T03:36:20-07:00,133109,4436.933776,4417.547891
2016-06-07T03:36:25-07:00,155357,4438.737857,4449.562334
2016-06-07T03:36:30-07:00,177434,4435.824405,4415.429949
2016-06-07T03:36:35-07:00,199452,4432.242751,4403.589423
2016-06-07T03:36:40-07:00,221701,4433.999776,4449.813131
2016-06-07T03:36:45-07:00,243863,4433.852746,4432.382449
2016-06-07T03:36:50-07:00,266114,4435.223357,4450.300477
2016-06-07T03:36:50-07:00,266115,4435.232816,10255.989498
