date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-08T04:39:28-07:00,0,0.000000,0.000000
2016-06-08T04:39:33-07:00,11715,2342.903698,2342.903774
2016-06-08T04:39:38-07:00,23406,2340.558950,2338.214092
2016-06-08T04:39:43-07:00,35119,2341.220942,2342.544917
2016-06-08T04:39:48-07:00,46844,2342.176585,2345.043622
2016-06-08T04:39:53-07:00,58785,2351.377299,2388.180218
2016-06-08T04:39:58-07:00,70489,2349.615328,2340.805372
2016-06-08T04:40:03-07:00,82248,2349.928637,2351.808509
2016-06-08T04:40:08-07:00,93991,2349.760209,2348.581217
2016-06-08T04:40:13-07:00,105689,2348.634029,2339.624437
2016-06-08T04:40:18-07:00,117390,2347.788899,2340.182753
2016-06-08T04:40:23-07:00,129124,2347.699246,2346.802713
2016-06-08T04:40:28-07:00,140818,2346.961225,2338.842802
2016-06-08T04:40:28-07:00,140818,2346.960597,2338.835293
