date,queries_finished,avg_queries_per_second,queries_per_second
2016-06-08T04:29:14-07:00,0,0.000000,0.000000
2016-06-08T04:29:19-07:00,3400,679.960793,679.960827
2016-06-08T04:29:24-07:00,6815,681.478967,682.997223
2016-06-08T04:29:29-07:00,10237,682.451215,684.395758
2016-06-08T04:29:34-07:00,13663,683.139413,685.204068
2016-06-08T04:29:39-07:00,17084,683.351140,684.198059
2016-06-08T04:29:44-07:00,20494,683.114993,681.934355
2016-06-08T04:29:49-07:00,23903,682.935945,681.861532
2016-06-08T04:29:54-07:00,27315,682.869206,682.402026
2016-06-08T04:29:59-07:00,30713,682.506427,679.604150
2016-06-08T04:30:04-07:00,34125,682.495196,682.394123
2016-06-08T04:30:09-07:00,37544,682.613944,683.801432
2016-06-08T04:30:14-07:00,40946,682.429747,680.403560
2016-06-08T04:30:14-07:00,40947,682.441850,2492.261528
